Год,Метка_норм,Административный ответчик,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2024,Министерство строительства и жилищно-коммунального хозяйства РФ,Министерство строительства и жилищно-коммунального хозяйства РФ,1156,933,80.0,223,19.0,0,0,0.0,20517,21
2018,Министерство строительства и жилищно-коммунального хозяйства РФ,Министерство строительства и жилищно-коммунального хозяйства РФ,911,737,80.9,174,19.1,1,0,0.0,29241,40
2020,Министерство строительства и жилищно-коммунального хозяйства РФ,Министерство строительства и жилищно-коммунального хозяйства РФ,913,739,80.0,174,19.0,0,0,0.0,15330,21
2022,Министерство строительства и жилищно-коммунального хозяйства РФ,Министерство строительства и жилищно-коммунального хозяйства РФ,1217,1071,88.0,146,11.0,4,0,0.0,25668,23
2021,Министерство строительства и жилищно-коммунального хозяйства РФ,Министерство строительства и жилищно-коммунального хозяйства РФ,1244,1079,86.0,165,13.0,0,0,0.0,30231,28
2023,Счетная палата РФ,Счетная палата РФ,0,0,0.0,0,0.0,35,0,0.0,0,0
2019,Счетная палата РФ,Счетная палата РФ,0,0,0.0,0,0.0,103,0,0.0,0,0
2024,Счетная палата РФ,Счетная палата РФ,0,0,0.0,0,0.0,63,0,0.0,0,0
2018,Счетная палата РФ,Счетная палата РФ,0,0,0.0,0,0.0,57,0,0.0,0,0
2020,Счетная палата РФ,Счетная палата РФ,0,0,0.0,0,0.0,32,0,0.0,0,0
2022,Счетная палата РФ,Счетная палата РФ,0,0,0.0,0,0.0,49,0,0.0,0,0
2021,Счетная палата РФ,Счетная палата РФ,0,0,0.0,0,0.0,35,0,0.0,0,0
2023,Министерство транспорта РФ,Министерство транспорта РФ,161,125,78.0,36,22.0,0,0,0.0,0,0
2019,Министерство транспорта РФ,Министерство транспорта РФ,74,37,50.0,37,50.0,0,0,0.0,0,0
2024,Министерство транспорта РФ,Министерство транспорта РФ,179,137,76.0,42,23.0,0,0,0.0,0,0
2018,Министерство транспорта РФ,Министерство транспорта РФ,141,108,76.6,33,23.4,0,0,0.0,0,0
2020,Министерство транспорта РФ,Министерство транспорта РФ,63,37,58.0,26,41.0,0,0,0.0,2,0
2022,Министерство транспорта РФ,Министерство транспорта РФ,185,148,80.0,37,20.0,0,0,0.0,25,0
2021,Министерство транспорта РФ,Министерство транспорта РФ,107,91,85.0,16,15.0,0,0,0.0,0,0
2023,Министерство труда и социальной защиты РФ,Министерство труда и социальной защиты РФ,615,401,65.0,214,35.0,11,0,0.0,4750,12
2019,Министерство труда и социальной защиты РФ,Министерство труда и социальной защиты РФ,447,211,47.0,236,52.0,14,0,0.0,264,1
2024,Министерство труда и социальной защиты РФ,Министерство труда и социальной защиты РФ,539,292,54.0,247,45.0,28,0,0.0,1539,5
2018,Министерство труда и социальной защиты РФ,Министерство труда и социальной защиты РФ,433,203,46.9,230,53.1,17,0,0.0,34,0
2020,Министерство труда и социальной защиты РФ,Министерство труда и социальной защиты РФ,494,219,44.0,275,55.0,8,0,0.0,840,4
2022,Министерство труда и социальной защиты РФ,Министерство труда и социальной защиты РФ,588,372,63.0,216,36.0,11,0,0.0,18383,49
2021,Министерство труда и социальной защиты РФ,Министерство труда и социальной защиты РФ,551,297,53.0,254,46.0,14,0,0.0,7307,25
2023,Министерство финансов РФ,Министерство финансов РФ,2130,974,46.0,1156,54.0,56,0,0.0,24191,25
2019,Министерство финансов РФ,Министерство финансов РФ,549,300,54.0,249,45.0,68,0,0.0,12651,42
2024,Министерство финансов РФ,Министерство финансов РФ,1868,819,43.0,1049,56.0,32,0,0.0,24047,29
2018,Министерство финансов РФ,Министерство финансов РФ,504,260,51.6,244,48.4,84,0,0.0,14760,57
2020,Министерство финансов РФ,Министерство финансов РФ,743,442,59.0,301,40.0,68,0,0.0,17034,39
2022,Министерство финансов РФ,Министерство финансов РФ,1884,839,44.0,1045,55.0,47,0,0.0,30908,36
2021,Министерство финансов РФ,Министерство финансов РФ,1034,570,55.0,464,44.0,64,0,0.0,26856,47
2023,Министерство экономического развития РФ,Министерство экономического развития РФ,77,48,62.0,29,38.0,141,0,0.0,0,0
2019,Министерство экономического развития РФ,Министерство экономического развития РФ,65,45,69.0,20,30.0,45,0,0.0,20,0
2024,Министерство экономического развития РФ,Министерство экономического развития РФ,48,37,77.0,11,22.0,147,0,0.0,0,0
2018,Министерство экономического развития РФ,Министерство экономического развития РФ,43,15,34.9,28,65.1,38,0,0.0,0,0
2020,Министерство экономического развития РФ,Министерство экономического развития РФ,46,18,39.0,28,60.0,48,0,0.0,0,0
2022,Министерство экономического развития РФ,Министерство экономического развития РФ,36,19,52.0,17,47.0,117,0,0.0,0,0
2021,Министерство экономического развития РФ,Министерство экономического развития РФ,55,21,38.0,34,61.0,88,0,0.0,0,0
2023,Министерство энергетики РФ,Министерство энергетики РФ,10,4,40.0,6,60.0,8,0,0.0,0,0
2019,Министерство энергетики РФ,Министерство энергетики РФ,24,8,33.0,16,66.0,5,0,0.0,0,0
2024,Министерство энергетики РФ,Министерство энергетики РФ,5,0,0.0,5,100.0,7,0,0.0,0,0
2018,Министерство энергетики РФ,Министерство энергетики РФ,5,0,0.0,5,100.0,11,0,0.0,0,0
2020,Министерство энергетики РФ,Министерство энергетики РФ,10,1,10.0,9,90.0,6,0,0.0,0,0
2022,Министерство энергетики РФ,Министерство энергетики РФ,8,5,62.0,3,37.0,11,0,0.0,0,0
2021,Министерство энергетики РФ,Министерство энергетики РФ,10,4,40.0,6,60.0,6,0,0.0,0,0
2023,Министерство юстиции РФ,Министерство юстиции РФ,366,101,28.0,265,72.0,1,0,0.0,51,1
2019,Министерство юстиции РФ,Министерство юстиции РФ,614,119,19.0,495,80.0,4,0,0.0,183,1
2024,Министерство юстиции РФ,Министерство юстиции РФ,422,116,27.0,306,72.0,3,0,0.0,0,0
2018,Министерство юстиции РФ,Министерство юстиции РФ,663,117,17.6,546,82.4,1,0,0.0,14,0
2020,Министерство юстиции РФ,Министерство юстиции РФ,426,96,22.0,330,77.0,0,0,0.0,0,0
2022,Министерство юстиции РФ,Министерство юстиции РФ,369,105,28.0,264,71.0,2,0,0.0,112,1
2021,Министерство юстиции РФ,Министерство юстиции РФ,586,99,16.0,487,83.0,1,0,0.0,88,1
2023,Государственная фельдъегерская служба РФ,Государственная фельдъегерская служба РФ,25,9,36.0,16,64.0,74,0,0.0,0,0
2019,Государственная фельдъегерская служба РФ,Государственная фельдъегерская служба РФ,15,9,60.0,6,40.0,148,0,0.0,0,0
2024,Государственная фельдъегерская служба РФ,Государственная фельдъегерская служба РФ,29,8,27.0,21,72.0,68,0,0.0,15,1
2018,Государственная фельдъегерская служба РФ,Государственная фельдъегерская служба РФ,8,3,37.5,5,62.5,131,0,0.0,0,0
2020,Государственная фельдъегерская служба РФ,Государственная фельдъегерская служба РФ,8,4,50.0,4,50.0,70,0,0.0,0,0
2022,Государственная фельдъегерская служба РФ,Государственная фельдъегерская служба РФ,33,9,27.0,24,72.0,72,0,0.0,0,0
2021,Государственная фельдъегерская служба РФ,Государственная фельдъегерская служба РФ,20,4,20.0,16,80.0,89,0,0.0,0,0
2023,Служба внешней разведки РФ,Служба внешней разведки РФ,7,2,29.0,5,71.0,12,0,0.0,0,0
2019,Служба внешней разведки РФ,Служба внешней разведки РФ,5,3,60.0,2,40.0,1,0,0.0,0,0
2024,Служба внешней разведки РФ,Служба внешней разведки РФ,4,3,75.0,1,25.0,8,0,0.0,0,0
2018,Служба внешней разведки РФ,Служба внешней разведки РФ,2,1,50.0,1,50.0,4,0,0.0,0,0
2020,Служба внешней разведки РФ,Служба внешней разведки РФ,1,0,0.0,1,100.0,4,0,0.0,0,0
2022,Служба внешней разведки РФ,Служба внешней разведки РФ,1,1,100.0,0,0.0,4,0,0.0,0,0
2021,Служба внешней разведки РФ,Служба внешней разведки РФ,8,2,25.0,6,75.0,5,0,0.0,0,0
2023,Федеральная антимонопольная служба,Федеральная антимонопольная служба,22,1,5.0,21,95.0,3,0,0.0,0,0
2019,Федеральная антимонопольная служба,Федеральная антимонопольная служба,35,12,34.0,23,65.0,1,0,0.0,0,0
2024,Федеральная антимонопольная служба,Федеральная антимонопольная служба,24,7,29.0,17,70.0,1,0,0.0,4,0
2018,Федеральная антимонопольная служба,Федеральная антимонопольная служба,32,9,28.1,23,71.9,2,0,0.0,0,0
2020,Федеральная антимонопольная служба,Федеральная антимонопольная служба,43,9,20.0,34,79.0,1,0,0.0,0,0
2022,Федеральная антимонопольная служба,Федеральная антимонопольная служба,33,8,24.0,25,75.0,1,0,0.0,0,0
2021,Федеральная антимонопольная служба,Федеральная антимонопольная служба,32,9,28.0,23,71.0,1,0,0.0,0,0
2023,Федеральная налоговая служба,Федеральная налоговая служба,3172,1688,53.0,1484,47.0,7,0,0.0,4712,3
2019,Федеральная налоговая служба,Федеральная налоговая служба,2895,1628,56.0,1267,43.0,7,961,33.0,69451,42
2024,Федеральная налоговая служба,Федеральная налоговая служба,5318,3025,56.0,2293,43.0,12,0,0.0,7902,2
2018,Федеральная налоговая служба,Федеральная налоговая служба,4865,3557,73.1,1308,26.9,15,1822,37.5,43805,12
2020,Федеральная налоговая служба,Федеральная налоговая служба,2660,1517,57.0,1143,43.0,4,868,32.0,47915,32
2022,Федеральная налоговая служба,Федеральная налоговая служба,2358,1121,47.0,1237,52.0,7,0,0.0,10950,9
2021,Федеральная налоговая служба,Федеральная налоговая служба,1870,710,38.0,1160,62.0,5,0,0.0,2209,3
2023,Федеральная служба безопасности РФ,Федеральная служба безопасности РФ,190,26,14.0,164,86.0,348,0,0.0,0,0
2019,Федеральная служба безопасности РФ,Федеральная служба безопасности РФ,276,46,16.0,230,83.0,321,0,0.0,0,0
2024,Федеральная служба безопасности РФ,Федеральная служба безопасности РФ,224,23,10.0,201,89.0,582,0,0.0,0,0
2018,Федеральная служба безопасности РФ,Федеральная служба безопасности РФ,251,48,19.1,203,80.9,510,0,0.0,0,0
2020,Федеральная служба безопасности РФ,Федеральная служба безопасности РФ,249,39,15.0,210,84.0,238,0,0.0,0,0
2022,Федеральная служба безопасности РФ,Федеральная служба безопасности РФ,218,24,11.0,194,88.0,260,0,0.0,0,0
2021,Федеральная служба безопасности РФ,Федеральная служба безопасности РФ,210,30,14.0,180,85.0,235,0,0.0,34,1
2023,"Федеральная служба государственной регистрации, кадастра и картографии","Федеральная служба государственной регистрации, кадастра и картографии",3624,2178,60.0,1446,40.0,42,0,0.0,1044393,480
2019,"Федеральная служба государственной регистрации, кадастра и картографии","Федеральная служба государственной регистрации, кадастра и картографии",5044,3016,59.0,2028,40.0,44,0,0.0,1119,0
2024,"Федеральная служба государственной регистрации, кадастра и картографии","Федеральная служба государственной регистрации, кадастра и картографии",4592,3095,67.0,1497,32.0,33,0,0.0,4017898,1298
2018,"Федеральная служба государственной регистрации, кадастра и картографии","Федеральная служба государственной регистрации, кадастра и картографии",6004,3677,61.2,2327,38.8,44,0,0.0,239,0
2020,"Федеральная служба государственной регистрации, кадастра и картографии","Федеральная служба государственной регистрации, кадастра и картографии",4698,2944,62.0,1754,37.0,53,0,0.0,2,0
2022,"Федеральная служба государственной регистрации, кадастра и картографии","Федеральная служба государственной регистрации, кадастра и картографии",4725,3175,67.0,1550,32.0,41,0,0.0,6876454,2165
2021,"Федеральная служба государственной регистрации, кадастра и картографии","Федеральная служба государственной регистрации, кадастра и картографии",5042,3154,62.0,1888,37.0,33,0,0.0,682,0
2023,Федеральная служба государственной статистики,Федеральная служба государственной статистики,6,2,33.0,4,67.0,756,0,0.0,0,0
2019,Федеральная служба государственной статистики,Федеральная служба государственной статистики,13,1,7.0,12,92.0,937,0,0.0,0,0
2024,Федеральная служба государственной статистики,Федеральная служба государственной статистики,6,4,66.0,2,33.0,743,0,0.0,0,0
2018,Федеральная служба государственной статистики,Федеральная служба государственной статистики,0,0,0.0,0,0.0,1000,0,0.0,0,0
2020,Федеральная служба государственной статистики,Федеральная служба государственной статистики,6,2,33.0,4,66.0,735,0,0.0,0,0
2022,Федеральная служба государственной статистики,Федеральная служба государственной статистики,12,4,33.0,8,66.0,809,0,0.0,0,0
2021,Федеральная служба государственной статистики,Федеральная служба государственной статистики,12,5,41.0,7,58.0,884,0,0.0,0,0
2023,"Федеральная служба по экологическому, технологическому и атомному надзору","Федеральная служба по экологическому, технологическому и атомному надзору",17,12,71.0,5,29.0,1,0,0.0,0,0
2019,"Федеральная служба по экологическому, технологическому и атомному надзору","Федеральная служба по экологическому, технологическому и атомному надзору",275,269,97.0,6,2.0,4,0,0.0,0,0
2024,"Федеральная служба по экологическому, технологическому и атомному надзору","Федеральная служба по экологическому, технологическому и атомному надзору",8,3,37.0,5,62.0,3,0,0.0,0,0
2018,"Федеральная служба по экологическому, технологическому и атомному надзору","Федеральная служба по экологическому, технологическому и атомному надзору",32,15,46.9,17,53.1,1,0,0.0,4,0
2020,"Федеральная служба по экологическому, технологическому и атомному надзору","Федеральная служба по экологическому, технологическому и атомному надзору",39,25,64.0,14,35.0,0,0,0.0,0,0
2022,"Федеральная служба по экологическому, технологическому и атомному надзору","Федеральная служба по экологическому, технологическому и атомному надзору",27,13,48.0,14,51.0,2,0,0.0,0,0
2021,"Федеральная служба по экологическому, технологическому и атомному надзору","Федеральная служба по экологическому, технологическому и атомному надзору",34,21,61.0,13,38.0,2,0,0.0,0,0
2023,Федеральная служба войск национальной гвардии РФ,Федеральная служба войск национальной гвардии РФ,298,69,23.0,229,77.0,2,0,0.0,0,0
2019,Федеральная служба войск национальной гвардии РФ,Федеральная служба войск национальной гвардии РФ,285,61,21.0,224,78.0,29,0,0.0,0,0
2024,Федеральная служба войск национальной гвардии РФ,Федеральная служба войск национальной гвардии РФ,263,61,23.0,202,76.0,3,0,0.0,0,0
2018,Федеральная служба войск национальной гвардии РФ,Федеральная служба войск национальной гвардии РФ,293,83,28.3,210,71.7,11,0,0.0,0,0
2020,Федеральная служба войск национальной гвардии РФ,Федеральная служба войск национальной гвардии РФ,218,68,31.0,150,68.0,4,0,0.0,8838,130
2022,Федеральная служба войск национальной гвардии РФ,Федеральная служба войск национальной гвардии РФ,286,101,35.0,185,64.0,10,0,0.0,0,0
2021,Федеральная служба войск национальной гвардии РФ,Федеральная служба войск национальной гвардии РФ,245,73,29.0,172,70.0,11,0,0.0,3590,49
2023,Федеральная служба исполнения наказаний,Федеральная служба исполнения наказаний,12178,4982,41.0,7196,59.0,36,0,0.0,54988,11
2019,Федеральная служба исполнения наказаний,Федеральная служба исполнения наказаний,1762,329,18.0,1433,81.0,62,0,0.0,497,1
2024,Федеральная служба исполнения наказаний,Федеральная служба исполнения наказаний,8477,2493,29.0,5984,70.0,59,0,0.0,14020,5
2018,Федеральная служба исполнения наказаний,Федеральная служба исполнения наказаний,1363,218,16.0,1145,84.0,73,0,0.0,77,0
2020,Федеральная служба исполнения наказаний,Федеральная служба исполнения наказаний,2152,464,21.0,1688,78.0,45,0,0.0,5933,13
2022,Федеральная служба исполнения наказаний,Федеральная служба исполнения наказаний,9153,3838,41.0,5315,58.0,39,0,0.0,42624,11
2021,Федеральная служба исполнения наказаний,Федеральная служба исполнения наказаний,4051,1248,30.0,2803,69.0,28,0,0.0,18365,15
2023,Федеральная служба охраны РФ,Федеральная служба охраны РФ,40,20,50.0,20,50.0,1068,0,0.0,0,0
2019,Федеральная служба охраны РФ,Федеральная служба охраны РФ,30,6,20.0,24,80.0,265,0,0.0,0,0
2024,Федеральная служба охраны РФ,Федеральная служба охраны РФ,38,15,39.0,23,60.0,964,0,0.0,0,0
2018,Федеральная служба охраны РФ,Федеральная служба охраны РФ,38,16,42.1,22,57.9,193,0,0.0,0,0
2020,Федеральная служба охраны РФ,Федеральная служба охраны РФ,42,10,23.0,32,76.0,392,0,0.0,0,0
2022,Федеральная служба охраны РФ,Федеральная служба охраны РФ,44,15,34.0,29,65.0,918,0,0.0,0,0
2021,Федеральная служба охраны РФ,Федеральная служба охраны РФ,51,18,35.0,33,64.0,488,0,0.0,8,0
2023,Федеральная служба по аккредитации,Федеральная служба по аккредитации,0,0,0.0,0,0.0,4,0,0.0,0,0
2019,Федеральная служба по аккредитации,Федеральная служба по аккредитации,0,0,0.0,0,0.0,5,0,0.0,0,0
2024,Федеральная служба по аккредитации,Федеральная служба по аккредитации,2,0,0.0,2,100.0,10,0,0.0,0,0
2018,Федеральная служба по аккредитации,Федеральная служба по аккредитации,2,1,50.0,1,50.0,7,0,0.0,0,0
2020,Федеральная служба по аккредитации,Федеральная служба по аккредитации,0,0,0.0,0,0.0,4,0,0.0,0,0
2022,Федеральная служба по аккредитации,Федеральная служба по аккредитации,0,0,0.0,0,0.0,6,0,0.0,0,0
2021,Федеральная служба по аккредитации,Федеральная служба по аккредитации,0,0,0.0,0,0.0,5,0,0.0,0,0
2023,Федеральная служба по ветеринарному и фитосанитарному надзору,Федеральная служба по ветеринарному и фитосанитарному надзору,41,25,61.0,16,39.0,0,0,0.0,0,0
2019,Федеральная служба по ветеринарному и фитосанитарному надзору,Федеральная служба по ветеринарному и фитосанитарному надзору,54,15,27.0,39,72.0,1,0,0.0,2,0
2024,Федеральная служба по ветеринарному и фитосанитарному надзору,Федеральная служба по ветеринарному и фитосанитарному надзору,32,14,43.0,18,56.0,0,0,0.0,0,0
2018,Федеральная служба по ветеринарному и фитосанитарному надзору,Федеральная служба по ветеринарному и фитосанитарному надзору,43,11,25.6,32,74.4,1,0,0.0,0,0
2020,Федеральная служба по ветеринарному и фитосанитарному надзору,Федеральная служба по ветеринарному и фитосанитарному надзору,29,14,48.0,15,51.0,0,0,0.0,0,0
2022,Федеральная служба по ветеринарному и фитосанитарному надзору,Федеральная служба по ветеринарному и фитосанитарному надзору,20,7,35.0,13,65.0,2,0,0.0,0,0
2021,Федеральная служба по ветеринарному и фитосанитарному надзору,Федеральная служба по ветеринарному и фитосанитарному надзору,35,18,51.0,17,48.0,0,0,0.0,0,0
2023,Федеральная служба по военно-техническому сотрудничеству,Федеральная служба по военно-техническому сотрудничеству,20,2,10.0,18,90.0,2,0,0.0,0,0
2019,Федеральная служба по военно-техническому сотрудничеству,Федеральная служба по военно-техническому сотрудничеству,5,1,20.0,4,80.0,6,0,0.0,0,0
2024,Федеральная служба по военно-техническому сотрудничеству,Федеральная служба по военно-техническому сотрудничеству,17,1,5.0,16,94.0,8,0,0.0,0,0
2018,Федеральная служба по военно-техническому сотрудничеству,Федеральная служба по военно-техническому сотрудничеству,12,7,58.3,5,41.7,13,0,0.0,0,0
2020,Федеральная служба по военно-техническому сотрудничеству,Федеральная служба по военно-техническому сотрудничеству,23,2,8.0,21,91.0,5,0,0.0,0,0
2022,Федеральная служба по военно-техническому сотрудничеству,Федеральная служба по военно-техническому сотрудничеству,19,2,10.0,17,89.0,2,0,0.0,0,0
2021,Федеральная служба по военно-техническому сотрудничеству,Федеральная служба по военно-техническому сотрудничеству,26,5,19.0,21,80.0,37,0,0.0,0,0
2023,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,6,2,33.0,4,67.0,3,0,0.0,0,0
2019,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,9,6,66.0,3,33.0,2,0,0.0,0,0
2024,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,13,10,76.0,3,23.0,3,0,0.0,0,0
2018,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,3,2,66.7,1,33.3,3,0,0.0,0,0
2020,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,5,2,40.0,3,60.0,7,0,0.0,0,0
2022,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,4,3,75.0,1,25.0,12,0,0.0,0,0
2021,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,Федеральная служба по гидрометеорологии и мониторингу окружающей среды,9,8,88.0,1,11.0,5,0,0.0,0,0
2023,Федеральная служба по интеллектуальной собственности,Федеральная служба по интеллектуальной собственности,7,4,57.0,3,43.0,1,0,0.0,0,0
2019,Федеральная служба по интеллектуальной собственности,Федеральная служба по интеллектуальной собственности,2,0,0.0,2,100.0,0,0,0.0,0,0
2024,Федеральная служба по интеллектуальной собственности,Федеральная служба по интеллектуальной собственности,1,0,0.0,1,100.0,0,0,0.0,0,0
2018,Федеральная служба по интеллектуальной собственности,Федеральная служба по интеллектуальной собственности,4,3,75.0,1,25.0,0,0,0.0,0,0
2020,Федеральная служба по интеллектуальной собственности,Федеральная служба по интеллектуальной собственности,3,1,33.0,2,66.0,0,0,0.0,0,0
2022,Федеральная служба по интеллектуальной собственности,Федеральная служба по интеллектуальной собственности,7,7,100.0,0,0.0,0,0,0.0,0,0
2021,Федеральная служба по интеллектуальной собственности,Федеральная служба по интеллектуальной собственности,4,1,25.0,3,75.0,0,0,0.0,0,0
2023,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,203,104,51.0,99,49.0,0,0,0.0,0,0
2019,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,315,194,61.0,121,38.0,1,0,0.0,0,0
2024,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,224,89,39.0,135,60.0,0,0,0.0,0,0
2018,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,429,280,65.3,149,34.7,1,0,0.0,4,0
2020,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,503,334,66.0,169,33.0,1,0,0.0,33,0
2022,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,290,141,48.0,149,51.0,2,0,0.0,0,0
2021,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,Федеральная служба по надзору в сфере защиты прав потребителей и благополучия человека,496,343,69.0,153,30.0,0,0,0.0,37,0
2023,Федеральная служба по надзору в сфере здравоохранения,Федеральная служба по надзору в сфере здравоохранения,77,60,78.0,17,22.0,21,0,0.0,0,0
2019,Федеральная служба по надзору в сфере здравоохранения,Федеральная служба по надзору в сфере здравоохранения,31,12,38.0,19,61.0,66,0,0.0,0,0
2024,Федеральная служба по надзору в сфере здравоохранения,Федеральная служба по надзору в сфере здравоохранения,30,15,50.0,15,50.0,31,0,0.0,10,0
2018,Федеральная служба по надзору в сфере здравоохранения,Федеральная служба по надзору в сфере здравоохранения,33,9,27.3,24,72.7,54,0,0.0,0,0
2020,Федеральная служба по надзору в сфере здравоохранения,Федеральная служба по надзору в сфере здравоохранения,28,13,46.0,15,53.0,49,0,0.0,0,0
2022,Федеральная служба по надзору в сфере здравоохранения,Федеральная служба по надзору в сфере здравоохранения,71,59,83.0,12,16.0,49,0,0.0,25,0
2021,Федеральная служба по надзору в сфере здравоохранения,Федеральная служба по надзору в сфере здравоохранения,38,11,28.0,27,71.0,49,0,0.0,0,0
2023,Федеральная служба по надзору в сфере образования и науки,Федеральная служба по надзору в сфере образования и науки,37,29,78.0,8,22.0,4,0,0.0,0,0
2019,Федеральная служба по надзору в сфере образования и науки,Федеральная служба по надзору в сфере образования и науки,7,4,57.0,3,42.0,5,0,0.0,0,0
2024,Федеральная служба по надзору в сфере образования и науки,Федеральная служба по надзору в сфере образования и науки,32,25,78.0,7,21.0,6,0,0.0,0,0
2018,Федеральная служба по надзору в сфере образования и науки,Федеральная служба по надзору в сфере образования и науки,7,2,28.6,5,71.4,5,0,0.0,0,0
2020,Федеральная служба по надзору в сфере образования и науки,Федеральная служба по надзору в сфере образования и науки,28,22,78.0,6,21.0,3,0,0.0,0,0
2022,Федеральная служба по надзору в сфере образования и науки,Федеральная служба по надзору в сфере образования и науки,87,80,91.0,7,8.0,4,0,0.0,0,0
2021,Федеральная служба по надзору в сфере образования и науки,Федеральная служба по надзору в сфере образования и науки,30,23,76.0,7,23.0,3,0,0.0,0,0
2023,Федеральная служба по надзору в сфере природопользования,Федеральная служба по надзору в сфере природопользования,274,234,85.0,40,15.0,4,0,0.0,0,0
2019,Федеральная служба по надзору в сфере природопользования,Федеральная служба по надзору в сфере природопользования,107,57,53.0,50,46.0,4,0,0.0,0,0
2024,Федеральная служба по надзору в сфере природопользования,Федеральная служба по надзору в сфере природопользования,788,736,93.0,52,6.0,4,0,0.0,0,0
2018,Федеральная служба по надзору в сфере природопользования,Федеральная служба по надзору в сфере природопользования,126,73,57.9,53,42.1,1,0,0.0,308,4
2020,Федеральная служба по надзору в сфере природопользования,Федеральная служба по надзору в сфере природопользования,117,81,69.0,36,30.0,0,0,0.0,0,0
2022,Федеральная служба по надзору в сфере природопользования,Федеральная служба по надзору в сфере природопользования,135,86,63.0,49,36.0,14,0,0.0,0,0
2021,Федеральная служба по надзору в сфере природопользования,Федеральная служба по надзору в сфере природопользования,181,146,80.0,35,19.0,22,0,0.0,8,0
2023,"Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций","Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций",5639,5550,98.0,89,2.0,80,0,0.0,636,0
2019,"Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций","Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций",36193,36007,99.0,186,0.0,14,0,0.0,603,0
2024,"Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций","Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций",2885,2835,98.0,50,1.0,114,0,0.0,2,0
2018,"Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций","Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций",19809,19706,99.5,103,0.5,23,0,0.0,0,0
2020,"Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций","Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций",27082,26987,99.0,95,0.0,17,0,0.0,0,0
2022,"Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций","Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций",16186,16101,99.0,85,0.0,42,0,0.0,79,0
2021,"Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций","Федеральная служба по надзору в сфере связи, информационных технологий и массовых коммуникаций",24935,24849,99.0,86,0.0,36,0,0.0,0,0
2023,Федеральная служба по надзору в сфере транспорта,Федеральная служба по надзору в сфере транспорта,22,13,59.0,9,41.0,596,0,0.0,0,0
2019,Федеральная служба по надзору в сфере транспорта,Федеральная служба по надзору в сфере транспорта,34,18,52.0,16,47.0,5128,0,0.0,0,0
2024,Федеральная служба по надзору в сфере транспорта,Федеральная служба по надзору в сфере транспорта,45,34,75.0,11,24.0,204,0,0.0,0,0
2018,Федеральная служба по надзору в сфере транспорта,Федеральная служба по надзору в сфере транспорта,43,21,48.8,22,51.2,2037,0,0.0,0,0
2020,Федеральная служба по надзору в сфере транспорта,Федеральная служба по надзору в сфере транспорта,45,24,53.0,21,46.0,5727,0,0.0,0,0
2022,Федеральная служба по надзору в сфере транспорта,Федеральная служба по надзору в сфере транспорта,47,35,74.0,12,25.0,3589,0,0.0,23,0
2021,Федеральная служба по надзору в сфере транспорта,Федеральная служба по надзору в сфере транспорта,42,29,69.0,13,31.0,5604,0,0.0,0,0
