Год,Метка_норм,Показатель,Кол-во ходатайств,Удовлетворено,Доля удовлетворенных
2022,Заключено под стражу обвиняемых в преступлениях средней тяжести,Заключено под стражу обвиняемых в преступлениях средней тяжести,19575,17101,87.0
2021,Заключено под стражу обвиняемых в преступлениях средней тяжести,Заключено под стражу обвиняемых в преступлениях средней тяжести,19863,17242,86.0
2023,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,4019,3392,84.0
2019,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,4524,3886,85.0
2024,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,4374,3769,86.0
2018,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,5200,4466,85.9
2020,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,3950,3351,84.0
2022,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,4221,3632,86.0
2021,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,Заключено под стражу обвиняемых в преступлениях небольшой тяжести,4401,3766,85.0
2023,Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 ),Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 УК РФ),655,460,70.0
2019,Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 ),Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 УК РФ),865,652,75.0
2024,Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 ),Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 УК РФ),756,573,75.0
2018,Заключено под стражу обвиняемых в преступлениях в связи с предпринимательской деятельностью (ст. 159-159.6 ),Заключено под стражу обвиняемых в преступлениях в связи с предпринимательской деятельностью (ст. 159-159.6 УК РФ),24487,22004,89.9
2020,Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 ),Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 УК РФ),953,715,75.0
2022,Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 ),Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 УК РФ),676,538,79.0
2021,Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 ),Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 УК РФ),816,635,77.0
2018,Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 ),Заключено под стражу обвиняемых в преступлениях в сфере экономической деятельности (гл. 22 УК РФ),594,539,90.7
