Год,Метка_норм,Показатель,Кол-во ходатайств,Удовлетворено,Доля удовлетворенных
2020,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,2841,0.0
2022,Освобождено из-под стражи в период нахождения в судебном производстве,Освобождено из-под стражи в период нахождения в судебном производстве,0,4233,0.0
2021,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,12298,0.0
2023,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,13925,0.0
2019,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,11628,1.0
2024,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,14265,0.0
2018,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,11609,1.3
2020,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,10773,1.0
2022,Освобождено осужденных из-под стражи по приговору суда,Освобождено осужденных из-под стражи по приговору суда,0,13058,0.0
2021,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,22,0.0
2023,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,17,0.0
2019,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,13,0.0
2024,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,6,0.0
2018,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,21,0.0
2020,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,6,0.0
2022,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен залог (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,16,0.0
2021,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,1379,0.0
2023,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,1579,0.0
2019,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,1037,0.0
2024,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,1503,0.0
2018,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,935,0.1
2020,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,1290,0.0
2022,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,Применен домашний арест (заменена др.мер пресечения) в период нахождения дела в судебном производстве,0,1494,0.0
2023,Заключено под стражу ВСЕГО,Заключено под стражу ВСЕГО,93357,82480,88.0
2019,Заключено под стражу ВСЕГО,Заключено под стражу ВСЕГО,104866,94633,90.0
2024,Заключено под стражу ВСЕГО,Заключено под стражу ВСЕГО,92681,82514,89.0
2018,Заключено под стражу ВСЕГО,Заключено под стражу ВСЕГО,113141,102165,90.3
2020,Заключено под стражу ВСЕГО,Заключено под стражу ВСЕГО,95420,84917,89.0
2022,Заключено под стражу ВСЕГО,Заключено под стражу ВСЕГО,97311,87687,90.0
2021,Заключено под стражу ВСЕГО,Заключено под стражу ВСЕГО,98034,87905,89.0
2023,Заключено под стражу обвиняемых в особо тяжких преступлениях,Заключено под стражу обвиняемых в особо тяжких преступлениях,33286,31190,94.0
2019,Заключено под стражу обвиняемых в особо тяжких преступлениях,Заключено под стражу обвиняемых в особо тяжких преступлениях,29125,27550,94.0
2024,Заключено под стражу обвиняемых в особо тяжких преступлениях,Заключено под стражу обвиняемых в особо тяжких преступлениях,33579,31784,94.0
2018,Заключено под стражу обвиняемых в особо тяжких преступлениях,Заключено под стражу обвиняемых в особо тяжких преступлениях,29769,28298,95.1
2020,Заключено под стражу обвиняемых в особо тяжких преступлениях,Заключено под стражу обвиняемых в особо тяжких преступлениях,29804,27988,93.0
2022,Заключено под стражу обвиняемых в особо тяжких преступлениях,Заключено под стражу обвиняемых в особо тяжких преступлениях,32758,31078,94.0
2021,Заключено под стражу обвиняемых в особо тяжких преступлениях,Заключено под стражу обвиняемых в особо тяжких преступлениях,31202,29461,94.0
2023,Заключено под стражу обвиняемых в тяжких преступлениях,Заключено под стражу обвиняемых в тяжких преступлениях,39586,33977,86.0
2019,Заключено под стражу обвиняемых в тяжких преступлениях,Заключено под стражу обвиняемых в тяжких преступлениях,46827,41835,89.0
2024,Заключено под стражу обвиняемых в тяжких преступлениях,Заключено под стражу обвиняемых в тяжких преступлениях,39875,34369,86.0
2018,Заключено под стражу обвиняемых в тяжких преступлениях,Заключено под стражу обвиняемых в тяжких преступлениях,50511,45114,89.3
2020,Заключено под стражу обвиняемых в тяжких преступлениях,Заключено под стражу обвиняемых в тяжких преступлениях,41461,36227,87.0
2022,Заключено под стражу обвиняемых в тяжких преступлениях,Заключено под стражу обвиняемых в тяжких преступлениях,40757,35876,88.0
2021,Заключено под стражу обвиняемых в тяжких преступлениях,Заключено под стражу обвиняемых в тяжких преступлениях,42568,37436,87.0
2023,Заключено под стражу обвиняемых в преступлениях средней тяжести,Заключено под стражу обвиняемых в преступлениях средней тяжести,16466,13921,85.0
2019,Заключено под стражу обвиняемых в преступлениях средней тяжести,Заключено под стражу обвиняемых в преступлениях средней тяжести,24390,21362,87.0
2024,Заключено под стражу обвиняемых в преступлениях средней тяжести,Заключено под стражу обвиняемых в преступлениях средней тяжести,14853,12592,84.0
2018,Заключено под стражу обвиняемых в преступлениях средней тяжести,Заключено под стражу обвиняемых в преступлениях средней тяжести,27660,24286,87.8
2020,Заключено под стражу обвиняемых в преступлениях средней тяжести,Заключено под стражу обвиняемых в преступлениях средней тяжести,20205,17351,85.0
