Год,Метка_норм,Показатель,Рассмотрено дел,Вынесено решений,Прекращено производство,Заключено мировое соглашение
2021,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,936,798,85,6
2018,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,2026,1687,213,19
2019,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,969,816,99,2
2020,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,807,696,76,7
2022,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,1073,951,83,6
2023,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,Об оспаривании решений третейских судов и о выдаче исполнительных листов на принудительное исполнение решений третейских судов,1155,974,145,13
2024,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,150,129,12,1
2021,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,278,237,21,0
2018,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,235,202,16,2
2019,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,233,190,25,0
2020,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,239,199,20,1
2022,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,209,185,13,0
2023,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,О признании и приведении в исполнение решений иностранных судов и иностранных арбитражных решений,183,152,20,0
2024,Дела об административных правонарушениях,Дела об административных правонарушениях,54329,52019,1055,3
2021,Дела об административных правонарушениях,Дела об административных правонарушениях,97289,92705,1766,0
2018,ВСЕГО,Всего,1907737,1672947,191764,31059
2019,ВСЕГО,Всего,1878545,1620328,212360,32952
2020,ВСЕГО,Всего,1508226,1298939,165605,29461
2022,Дела об административных правонарушениях,Дела об административных правонарушениях,78840,75290,1429,2
2023,Дела об административных правонарушениях,Дела об административных правонарушениях,52869,50929,842,1
2024,ВСЕГО,Всего,1823073,1578726,201330,35353
2021,ВСЕГО,Всего,1633484,1409345,181084,31331
2022,ВСЕГО,Всего,1702816,1483045,176956,32282
2023,ВСЕГО,Всего,1776434,1558929,177817,32739
2024,Рассмотрено в порядке упрощенного производства,Рассмотрено в порядке упрощенного производства,509110,453050,48344,4891
2022,Рассмотрено в порядке упрощенного производства,Рассмотрено в порядке упрощенного производства,521260,463351,49453,3355
2023,Рассмотрено в порядке упрощенного производства,Рассмотрено в порядке упрощенного производства,496608,444324,45010,3328
2024,Рассмотрено в порядке приказного производства,Рассмотрено в порядке приказного производства,311209,311209,0,0
2022,Рассмотрено в порядке приказного производства,Рассмотрено в порядке приказного производства,300704,300703,0,0
2023,Рассмотрено в порядке приказного производства,Рассмотрено в порядке приказного производства,340438,340438,0,0
