Год,Метка_норм,Категория дел,Подвергнуто наказанию,Доля наказанных,Оправдано,Доля оправданных,Наказание штрафом,Размер штрафов (тыс. руб.),Административный арест,Лишение права/дисквалификация,Выдворение,Приостановление деятельности,Конфискация,Обязательные работы,Средняя сумма штрафа (тыс. руб.)
2022,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",179799,88.0,4716,2.0,156092,762002,9126,5124,85075,28,3029,516,4
2021,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",175472,88.0,3397,1.0,138861,637287,7386,3943,32876,45,3611,475,4
2023,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",229463,90.0,3389,1.0,213703,935355,9296,5338,129698,36,3291,501,4
2019,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",1181596,85.0,63758,4.0,948483,1870216,0,9040,0,0,1529,670,1
2018,"Правонарушения, совершенные должностными лицами","Правонарушения, совершенные должностными лицами",1161361,84.4,65920,0.0,997423,1770411,0,1233207,0,2,2068,304,2
2024,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",55,71.0,13,16.0,38,193,0,0,0,0,0,0,3
2019,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",5668,71.0,1220,15.0,5251,72802,9,1913,0,0,17,4,12
2018,"Правонарушения, совершенные совершенным военнослужащими","Правонарушения, совершенные совершенным военнослужащими",6092,75.1,1118,0.0,5591,77569,2,1939,0,0,17,0,13
2019,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",206722,91.0,2989,1.0,188048,742767,8103,4164,125189,38,7136,392,3
2018,"Правонарушения, совершенные иностранными гражданами и лицами без гражданства","Правонарушения, совершенные иностранными гражданами и лицами без гражданства",180655,90.8,2769,0.0,163357,686844,8206,4538,103447,36,6752,367,4
