Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2022,ВСЕГО,"Всего споров, возникающих из пенсионного законодательства",65491,55453,84.0,10038,15.0,4923,1,0.0,24048,0
2021,ВСЕГО,Всего социальных споров,28232,22942,81.0,5290,18.0,2583,682,2.0,607755,26
2023,ВСЕГО,Всего социальных споров,34069,28733,84.0,5336,16.0,3399,614,2.0,968812,34
2019,ВСЕГО,Всего социальных споров,37428,32309,86.0,6389,17.0,2856,1652,4.0,1256769,38
2024,ВСЕГО,Всего социальных споров,33604,28066,83.0,5538,16.0,3258,936,2.0,7254,0
2018,ВСЕГО,Всего социальных споров,39934,33225,83.2,7714,19.3,2792,2330,5.8,15744,0
2020,ВСЕГО,Всего социальных споров,26049,20664,79.0,5385,20.0,2278,377,1.0,435035,21
2022,ВСЕГО,Всего социальных споров,29584,24710,83.0,4874,16.0,2836,936,3.0,6010,0
2021,ВСЕГО,"Всего споров, вытекающих из жилищного законодательства",10519872,10471507,99.0,48365,0.0,54547,10024758,95.0,192501592,18
2023,ВСЕГО,"Всего споров, вытекающих из жилищного законодательства",10882315,10830946,100.0,51369,0.0,60242,10306921,95.0,208838441,19
2019,ВСЕГО,"Всего споров, вытекающих из жилищного законодательства",8012615,7963182,99.0,49433,0.0,56107,7549932,94.0,156046377,19
2024,ВСЕГО,"Всего споров, вытекающих из жилищного законодательства",10310991,10261228,99.0,49763,0.0,58177,9702073,94.0,1203057,0
2018,ВСЕГО,"Всего споров, вытекающих из жилищного законодательства",6955034,6904026,99.3,51008,0.7,52974,6520680,93.8,685074,0
2020,ВСЕГО,"Всего споров, вытекающих из жилищного законодательства",8974502,8933528,99.0,40974,0.0,44309,8574233,95.0,205869882,23
2022,ВСЕГО,"Всего споров, вытекающих из жилищного законодательства",10632350,10584314,99.0,48036,0.0,56521,10091913,94.0,1001005,0
2018,ВСЕГО,"Всего споров, связанных с землепользованием",172889,149797,86.6,23092,13.4,19974,14700,8.5,91688,1
2020,ВСЕГО,"Всего споров, связанных с землепользованием",148555,128736,86.0,19819,13.0,14126,25052,16.0,3383027,26
2022,ВСЕГО,"Всего споров, связанных с землепользованием",155767,135101,86.0,20666,13.0,15375,26961,17.0,111855,0
2021,ВСЕГО,"Всего споров, связанных с землепользованием",156402,135608,86.0,20794,13.0,14634,26171,16.0,4135448,30
2023,ВСЕГО,"Всего споров, связанных с землепользованием",155557,134298,86.0,21259,14.0,15073,26264,17.0,5700966,42
2019,ВСЕГО,"Всего споров, связанных с землепользованием",185053,161242,87.0,23811,12.0,19749,22329,12.0,4019678,24
2024,ВСЕГО,"Всего споров, связанных с землепользованием",149696,129095,86.0,20601,13.0,15330,24539,16.0,124058,0
2024,ВСЕГО,Всего споров о защите интеллектуальной собственности,3587,3322,92.0,265,7.0,284,0,0.0,5038,1
2018,ВСЕГО,Всего споров о защите интеллектуальной собственности,1659,1487,89.6,172,10.4,121,0,0.0,1671,1
2020,ВСЕГО,Всего споров о защите интеллектуальной собственности,1707,1542,90.0,165,9.0,114,0,0.0,197354,128
2022,ВСЕГО,Всего споров о защите интеллектуальной собственности,3480,3190,91.0,290,8.0,275,0,0.0,2549,0
2021,ВСЕГО,Всего споров о защите интеллектуальной собственности,2433,2206,90.0,227,9.0,236,0,0.0,133706,61
2023,ВСЕГО,Всего споров о защите интеллектуальной собственности,3877,3597,93.0,280,7.0,297,0,0.0,98202,27
2019,ВСЕГО,Всего споров о защите интеллектуальной собственности,1806,1622,89.0,184,10.0,197,0,0.0,333603,205
2024,ВСЕГО,Всего споров о защите прав потребителей,212559,185821,87.0,26738,12.0,21120,27357,12.0,733895,3
