Год,Метка_норм,Показатель,Рассмотрено дел,Кол-во лиц по делам,Осуждено,Доля осужденных,Оправдано,Доля оправданных,Прекращено по реабил. основаниям,В особом порядке,Доля осужденных в особом порядке
2021,"Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 )","Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 УК РФ)",3797,4208,2680,63.0,148,3.0,11,498,18.0
2023,"Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 )","Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 УК РФ)",3487,3890,2800,72.0,120,3.0,6,397,14.0
2019,"Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 )","Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 УК РФ)",3835,4280,2522,58.0,120,2.0,11,667,26.0
2024,"Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 )","Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 УК РФ)",3562,3959,2863,72.0,174,4.0,4,379,13.0
2018,"Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 )","Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 УК РФ)",4197,4614,2882,62.5,109,2.4,12,1062,36.8
2020,"Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 )","Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 УК РФ)",3494,3759,1965,52.0,84,2.0,9,437,22.0
2022,"Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 )","Другие преступления против интересов службы в органах власти и местного самоуправления (ст. 285-288, 292, 293 УК РФ)",3807,4315,3030,70.0,163,3.0,15,596,19.0
2021,"Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 )","Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 УК РФ)",17996,17509,15606,89.0,24,0.0,4,7494,48.0
2023,"Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 )","Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 УК РФ)",14073,13706,12612,92.0,11,0.0,1,5044,40.0
2019,"Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 )","Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 УК РФ)",20767,20114,16542,82.0,20,0.0,6,9680,58.0
2024,"Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 )","Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 УК РФ)",11560,11378,10525,92.0,11,0.0,3,4033,38.0
2018,"Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 )","Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 УК РФ)",20901,20414,17632,86.4,11,0.1,1,12916,73.3
2020,"Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 )","Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 УК РФ)",20767,19980,16252,81.0,19,0.0,5,8406,51.0
2022,"Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 )","Преступления против лиц, осуществляющих правосудие и предварительное расследование, других представителей власти (ст. 294-298, 317-321 УК РФ)",15768,15382,14127,91.0,20,0.0,3,6013,42.0
2021,"Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов","Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов",5462,5467,1477,27.0,684,12.0,837,101,6.0
2023,"Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов","Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов",4307,4209,1212,29.0,551,13.0,462,96,8.0
2019,"Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов","Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов",7348,7343,1964,26.0,991,13.0,1155,202,10.0
2024,"Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов","Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов",3964,3888,1110,28.0,496,12.0,318,81,7.0
2018,"Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов","Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов",7844,7813,2106,27.0,960,12.3,1353,293,13.9
2020,"Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов","Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов",5968,5895,1563,26.0,703,11.0,963,149,9.0
2022,"Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов","Дела частного обвинения, возбужденные по заявлениям, поступившим в суд непосредственно от граждан и переданным из других органов",4718,4654,1245,26.0,573,12.0,643,74,5.0
2021,"Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением","Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением",4694,4699,2522,53.0,29,0.0,19,1245,49.0
2023,"Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением","Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением",5280,5243,3178,61.0,14,0.0,9,1343,42.0
2019,"Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением","Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением",5128,4965,2637,53.0,23,0.0,21,1617,61.0
2024,"Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением","Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением",3719,3729,1901,50.0,24,0.0,11,748,39.0
2018,"Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением","Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением",6135,5810,3085,53.1,25,0.4,33,2249,72.9
2020,"Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением","Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением",4830,4762,2477,52.0,20,0.0,16,1351,54.0
2022,"Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением","Дела частного обвинения, (ст. поступившие c обвинительным заключением, обвинительным актом или обвинительным постановлением",5439,5316,3050,57.0,18,0.0,14,1481,48.0
2021,Прочие преступления,Прочие преступления,186072,184009,125658,68.0,206,0.0,79,77408,61.0
2023,Прочие преступления,Прочие преступления,173602,172031,124854,73.0,190,0.0,228,64287,51.0
2019,Прочие преступления,Прочие преступления,205179,197866,135739,68.0,199,0.0,118,94839,69.0
2024,Прочие преступления,Прочие преступления,170941,169017,127016,75.0,209,0.0,111,62543,49.0
2018,Прочие преступления,Прочие преступления,235152,212110,147493,69.5,222,0.1,127,118076,80.1
2020,Прочие преступления,Прочие преступления,181894,178512,115929,64.0,192,0.0,116,73887,63.0
2022,Прочие преступления,Прочие преступления,186209,183942,130232,70.0,214,0.0,115,74866,57.0
2021,ВСЕГО,Всего уголовных дел,769948,800471,601148,75.0,2190,0.0,1138,259055,43.0
2023,ВСЕГО,Всего уголовных дел,727168,750770,589011,78.0,1874,0.0,1065,208694,35.0
2019,ВСЕГО,Всего уголовных дел,806114,838157,620054,74.0,2256,0.0,1570,374384,60.0
2024,ВСЕГО,Всего уголовных дел,659878,679457,534644,78.0,1798,0.0,671,179481,33.0
2020,ВСЕГО,Всего уголовных дел,748853,778995,562906,72.0,1931,0.0,1299,296483,52.0
2022,ВСЕГО,Всего уголовных дел,770851,797156,614726,77.0,2062,0.0,992,241674,39.0
2021,Взято под стражу судом по приговору с реальным лишением свободы,Взято под стражу судом по приговору с реальным лишением свободы,0,0,75045,0.0,0,0.0,0,0,0.0
2019,Взято под стражу судом по приговору с реальным лишением свободы,Взято под стражу судом по приговору с реальным лишением свободы,0,0,80784,9.0,0,0.0,0,0,0.0
2018,Взято под стражу судом по приговору с реальным лишением свободы,Взято под стражу судом по приговору с реальным лишением свободы,0,0,88303,9.8,0,0.0,0,0,0.0
2020,Взято под стражу судом по приговору с реальным лишением свободы,Взято под стражу судом по приговору с реальным лишением свободы,0,0,70328,9.0,0,0.0,0,0,0.0
