Год,Метка_норм,Показатель,Рассмотрено дел,Подвергнуто наказанию,Доля наказанных,Оправдано,Доля оправданных,Наказание штрафом,Размер штрафов (тыс. руб.),Административный арест,Лишение права/дисквалификация,Выдворение,Приостановление деятельности,Конфискация,Средняя сумма штрафа (тыс. руб.)
2023,Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2019,Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2024,Создание юридическим лицом условий для торговли детьми и (или) эксплуатации детей (6.19 КоАП),Создание юридическим лицом условий для торговли детьми и (или) эксплуатации детей (6.19 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2018,Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2020,Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2022,Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2021,Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),17,6,35.0,2,11.0,6,1181,0,0,0,0,0,197
2023,"Пропаганда нетрадиционных сексуальных отношений и (или) предпочтений, смены пола или педофилии (6.21, 6.21.1, 6.21.2 КоАП)","Пропаганда нетрадиционных сексуальных отношений и (или) предпочтений, смены пола или педофилии (6.21, 6.21.1, 6.21.2 КоАП)",186,106,57.0,8,4.0,101,25904,4,0,9,0,0,244
2019,Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),20,4,20.0,1,5.0,4,108,0,0,0,0,0,27
2024,Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),Изготовление юридическим лицом материалов или предметов с порнографическими изображениями несовершеннолетних и оборот таких материалов или предметов (6.20 КоАП),8,4,50.0,0,0.0,4,13500,0,0,0,0,0,3375
2018,Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),4,1,25.0,0,0.0,1,25,0,0,0,0,0,25
2020,Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),27,8,29.0,1,3.0,8,283,0,0,0,0,0,35
2022,Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),Пропаганда нетрадиционных сексуальных отношений среди несовершеннолетних (6.21 КоАП),22,16,72.0,2,9.0,16,1960,0,0,1,0,0,122
2021,Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),2,1,50.0,0,0.0,1,2,0,0,0,0,0,2
2023,Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2019,Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2024,"Пропаганда нетрадиционных сексуальных отношений и (или) предпочтений, смены пола или педофилии (6.21, 6.21.1, 6.21.2 КоАП)","Пропаганда нетрадиционных сексуальных отношений и (или) предпочтений, смены пола или педофилии (6.21, 6.21.1, 6.21.2 КоАП)",221,151,68.0,12,5.0,146,37675,5,0,4,0,0,249
2018,Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2020,Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2022,Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),1,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2021,"Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)","Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)",17,7,41.0,1,5.0,7,56,0,0,0,0,0,8
2023,"Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)","Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)",2,1,50.0,0,0.0,1,40,0,0,0,0,0,40
2019,"Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)","Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)",13,7,53.0,4,30.0,7,23,0,0,0,0,0,3
2024,Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),Нарушение установленных законодательством о физической культуре и спорте требований к положениям (регламентам) об официальных спортивных соревнованиях (6.22 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2018,"Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)","Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)",36,12,33.3,9,0.0,12,111,0,0,0,0,0,9
2020,"Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)","Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)",8,3,37.0,0,0.0,3,13,0,0,0,0,0,4
2022,"Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)","Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)",4,3,75.0,0,0.0,3,47,0,0,0,0,0,15
2021,Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч.4 КоАП),Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч. 4 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2023,Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч.4 КоАП),Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч. 4 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2019,Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч.4 КоАП),Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч. 4 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2024,"Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)","Организация публичного исполнения произведения, содержащего нецензурную брань (6.26, 6.27 КоАП)",4,2,50.0,0,0.0,2,5,0,0,0,0,0,2
2018,Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч.4 КоАП),Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч. 4 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2020,Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч.4 КоАП),Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч. 4 КоАП),3,0,0.0,3,100.0,0,0,0,0,0,0,0,0
2022,Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч.4 КоАП),Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч. 4 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2021,Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч.1 КоАП),Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч. 1 КоАП),41,24,58.0,0,0.0,18,360,0,0,0,0,0,15
2023,Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч.1 КоАП),Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч. 1 КоАП),6,5,83.0,0,0.0,4,81,0,0,0,1,0,16
2019,Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч.1 КоАП),Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч. 1 КоАП),15,14,93.0,1,6.0,8,142,0,0,0,0,0,10
2024,Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч.4 КоАП),Невыполнение обязанностей о представлении информации о конфликте интересов при осуществлении медицинской деятельности и фармацевтической деятельности (6.29 ч. 4 КоАП),1,1,100.0,0,0.0,1,10,0,0,0,0,0,10
2018,Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч.1 КоАП),Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч. 1 КоАП),43,37,86.0,3,0.0,24,431,0,0,0,2,0,12
2020,Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч.1 КоАП),Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч. 1 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2022,Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч.1 КоАП),Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч. 1 КоАП),13,10,76.0,1,7.0,7,150,0,0,0,0,0,15
2021,"Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)","Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)",23,11,47.0,4,17.0,11,670,0,0,0,0,0,61
2023,"Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)","Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)",12,6,50.0,2,17.0,6,430,0,0,0,0,0,72
2019,"Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)","Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)",50,23,46.0,7,14.0,23,1784,0,0,0,0,0,77
2024,Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч.1 КоАП),Нарушение законодательства о донорстве крови и ее компонентов (6.31 ч. 1 КоАП),1,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2018,"Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)","Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)",61,34,55.7,7,0.0,28,2065,0,0,0,0,0,61
2020,"Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)","Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)",52,28,53.0,3,5.0,28,1905,0,0,0,0,0,68
2022,"Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)","Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)",19,13,68.0,0,0.0,12,630,0,0,0,0,0,48
2021,Воспрепятствование оказанию медицинской помощи (6.36 КоАП),Воспрепятствование оказанию медицинской помощи (6.36 КоАП),20,17,85.0,0,0.0,17,68,0,0,0,0,0,4
2023,Воспрепятствование оказанию медицинской помощи (6.36 КоАП),Воспрепятствование оказанию медицинской помощи (6.36 КоАП),11,4,36.0,6,55.0,4,18,0,0,0,0,0,4
2019,"Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)","Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)",482,324,67.0,59,12.0,257,8806,8,0,0,35,0,27
2024,"Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)","Обращение фальсифицированных, контрафактных, недоброкачественных и незарегистрированных лекарственных средств, медицинских изделий и биологически активных добавок (6.33 КоАП)",7,4,57.0,0,0.0,4,245,0,0,0,0,0,61
2018,"Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)","Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)",802,627,78.2,85,0.0,489,3199,44,0,0,1,0,5
2020,Воспрепятствование оказанию медицинской помощи (6.36 КоАП),Воспрепятствование оказанию медицинской помощи (6.36 КоАП),41,19,46.0,3,7.0,19,102,0,0,0,0,0,5
2022,Воспрепятствование оказанию медицинской помощи (6.36 КоАП),Воспрепятствование оказанию медицинской помощи (6.36 КоАП),16,11,68.0,2,12.0,10,43,0,0,0,0,0,3
2021,"Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)","Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)",520,299,57.0,75,14.0,220,22368,2,0,0,44,0,75
2023,"Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)","Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)",244,177,73.0,3,1.0,125,38636,20,0,0,12,0,218
2019,ВСЕГО,"Всего правонарушений, посягающих на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность",337063,255589,75.0,19379,5.0,180872,948637,55672,0,541,4810,112,3
2024,Воспрепятствование оказанию медицинской помощи (6.36 КоАП),Воспрепятствование оказанию медицинской помощи (6.36 КоАП),14,8,57.0,3,21.0,8,34,0,0,0,0,0,4
2018,ВСЕГО,"Всего правонарушений, посягающих на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность",329650,254213,77.1,17806,0.0,178224,949139,54784,0,525,5659,80,4
2020,"Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)","Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)",470,277,58.0,52,11.0,196,19477,8,0,0,46,0,70
2022,"Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)","Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)",399,238,59.0,23,5.0,199,15226,10,0,0,11,0,63
2021,ВСЕГО,"Всего правонарушений, посягающих на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность",412577,301432,73.0,28600,6.0,224536,2041259,57253,0,400,5008,108,7
2023,ВСЕГО,"Всего правонарушений, посягающих на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность",303848,228509,75.0,15552,5.0,170857,907341,50485,0,830,1114,243,4
2019,Самовольная добыча янтаря (7.5 КоАП),Самовольная добыча янтаря (7.5 КоАП),105,73,69.0,6,5.0,73,11230,0,0,0,0,29,153
2024,"Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)","Иные правонарушения, посягающие на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность (иные статьи главы 6 КоАП)",233,139,59.0,23,9.0,103,34406,10,0,0,11,0,247
2018,Самовольная добыча янтаря (7.5 КоАП),Самовольная добыча янтаря (7.5 КоАП),152,141,92.8,2,0.0,141,18903,0,0,0,0,15,134
2020,ВСЕГО,"Всего правонарушений, посягающих на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность",379499,271183,71.0,27020,7.0,197029,1572716,53772,0,356,6164,86,6
2022,ВСЕГО,"Всего правонарушений, посягающих на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность",363769,268903,73.0,23634,6.0,203248,1373047,54442,1,750,1538,113,5
2021,Самовольная добыча янтаря (7.5 КоАП),Самовольная добыча янтаря (7.5 КоАП),45,31,68.0,4,8.0,31,3704,0,0,0,0,17,119
2023,Самовольная добыча янтаря (7.5 КоАП),Самовольная добыча янтаря (7.5 КоАП),95,41,43.0,11,12.0,41,5670,0,0,0,0,34,138
2019,Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),245,156,63.0,33,13.0,141,3518,0,0,0,12,0,22
2024,ВСЕГО,"Всего правонарушений, посягающих на здоровье, санитарно-эпидемиологическое благополучие населения и общественную нравственность",403101,291179,72.0,22521,5.0,230421,1275162,49061,0,1171,924,121,4
2018,Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),308,203,65.9,46,0.0,178,5847,0,0,0,17,0,29
2020,Самовольная добыча янтаря (7.5 КоАП),Самовольная добыча янтаря (7.5 КоАП),86,65,75.0,3,3.0,65,9830,0,0,0,0,40,151
2022,Самовольная добыча янтаря (7.5 КоАП),Самовольная добыча янтаря (7.5 КоАП),41,25,60.0,6,14.0,25,8800,0,0,0,0,21,352
2021,Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),189,100,52.0,26,13.0,84,2855,0,0,0,9,0,29
2023,Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),104,75,72.0,10,10.0,63,993,0,0,0,7,0,13
2019,Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч.2 КоАП),Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч. 2 КоАП),140,88,62.0,23,16.0,0,0,0,88,0,0,0,0
2024,Самовольная добыча янтаря (7.5 КоАП),Самовольная добыча янтаря (7.5 КоАП),49,31,63.0,1,2.0,31,3850,0,0,0,0,19,124
2018,Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч.2 КоАП),Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч. 2 КоАП),121,66,54.5,14,0.0,1,1,0,65,0,0,0,0
2020,Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),243,132,54.0,31,12.0,113,3483,0,0,0,14,0,26
2022,Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),102,68,66.0,9,8.0,57,1213,0,0,0,6,0,17
2021,Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч.2 КоАП),Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч. 2 КоАП),211,93,44.0,43,20.0,0,0,0,93,0,0,0,0
2023,Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч.2 КоАП),Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч. 2 КоАП),186,104,56.0,20,11.0,13,77,0,91,0,0,0,1
2019,"Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)","Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)",1274,788,61.0,82,6.0,724,6560,0,0,0,0,299,8
2024,Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),Самовольное занятие водного объекта или пользование им с нарушением установленных условий (7.6 КоАП),120,78,65.0,14,11.0,61,1533,0,0,0,11,0,19
2018,"Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)","Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)",1121,767,68.4,63,0.0,730,5344,0,0,0,0,331,7
2020,Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч.2 КоАП),Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч. 2 КоАП),206,121,58.0,22,10.0,0,0,0,121,0,0,0,0
2022,Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч.2 КоАП),Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч. 2 КоАП),179,100,55.0,21,11.0,2,1,0,98,0,0,0,0
2021,"Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)","Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)",676,449,66.0,37,5.0,407,5129,0,0,0,0,179,11
2023,"Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)","Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)",248,131,53.0,12,5.0,125,1820,0,0,0,0,44,14
2019,"Нарушение требований законодательства об охране объектов культурного наследия (7.13, 7.14 КоАП)","Нарушение требований законодательства об охране объектов культурного наследия (7.13, 7.14 КоАП)",2846,1631,57.0,523,18.0,1545,121228,0,0,0,0,0,74
2024,Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч.2 КоАП),Пользование объектами животного мира и водными биологическими ресурсами без разрешения (7.11 ч. 2 КоАП),159,79,49.0,17,10.0,1,1,0,78,0,0,0,0
2018,"Нарушение требований законодательства об охране объектов культурного наследия (7.13, 7.14 КоАП)","Нарушение требований законодательства об охране объектов культурного наследия (7.13, 7.14 КоАП)",2447,1335,54.6,465,0.0,1286,105281,0,0,0,0,0,79
2020,"Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)","Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)",711,452,63.0,52,7.0,429,4520,0,0,0,0,196,10
2022,"Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)","Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)",411,253,61.0,26,6.0,234,3600,0,0,0,0,126,14
2021,"Нарушение требований законодательства об охране объектов культурного наследия (7.13, 7.14 КоАП)","Нарушение требований законодательства об охране объектов культурного наследия (7.13, 7.14 КоАП)",3420,2053,60.0,580,17.0,1868,145991,0,0,0,0,0,71
2023,"Нарушение требований законодательства об охране объектов культурного наследия (7.13, 7.14 КоАП)","Нарушение требований законодательства об охране объектов культурного наследия (7.13, 7.14 КоАП)",486,295,61.0,56,12.0,267,23567,0,0,0,0,0,80
2019,"Уничтожение или повреждение объектов культурного наследия (7.14.1, 7.14.2 КоАП)","Уничтожение или повреждение объектов культурного наследия (7.14.1, 7.14.2 КоАП)",375,199,53.0,43,11.0,183,9835,0,0,0,0,0,49
2024,"Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)","Нарушение авторских и смежных прав, изобретательских и патентных прав (7.12 КоАП)",224,116,51.0,25,11.0,110,1643,0,0,0,0,39,14
2018,"Уничтожение или повреждение объектов культурного наследия (7.14.1, 7.14.2 КоАП)","Уничтожение или повреждение объектов культурного наследия (7.14.1, 7.14.2 КоАП)",252,118,46.8,33,0.0,112,8272,0,0,0,0,0,70
