Год,Метка_норм,Показатель,Рассмотрено дел,Подвергнуто наказанию,Доля наказанных,Оправдано,Доля оправданных,Наказание штрафом,Размер штрафов (тыс. руб.),Административный арест,Лишение права/дисквалификация,Выдворение,Приостановление деятельности,Конфискация,Средняя сумма штрафа (тыс. руб.)
2017,"Нарушение государственных нормативных требований охраны труда, содержащихся в федеральных законах и иных нормативных актах (5.27.1 КоАП)","Нарушение государственных нормативных требований охраны труда, содержащихся в федеральных законах и иных нормативных актах (5.27.1 КоАП)",466,287,61.0,32,0.0,214,9544,0,5,0,2,0,33
2017,Неуплата средств на содержание детей или нетрудоспособных родителей (5.35.1 КоАП),Неуплата средств на содержание детей или нетрудоспособных родителей (5.35.1 КоАП),106987,101601,95.0,894,0.0,1186,17825,8075,0,0,0,0,0
2016,"Незаконные действия по усыновлению (удочерению) ребенка, передаче его под опеку (попечительство) или в приемную семью (5.37 КоАП)","Незаконные действия по усыновлению (удочерению) ребенка, передаче его под опеку (попечительство) или в приемную семью (5.37 КоАП)",2,0,0.0,1,0.0,0,0,0,0,0,0,0,0
2017,"Незаконные действия по усыновлению (удочерению) ребенка, передаче его под опеку (попечительство) или в приемную семью (5.37 КоАП)","Незаконные действия по усыновлению (удочерению) ребенка, передаче его под опеку (попечительство) или в приемную семью (5.37 КоАП)",15,10,66.0,2,0.0,4,16,0,0,0,0,0,2
2016,"Нарушение законодательства о собраниях, митингах, демонстрациях, шествиях и пикетировании (5.38 КоАП)","Нарушение законодательства о собраниях, митингах, демонстрациях, шествиях и пикетировании (5.38 КоАП)",8,5,62.0,0,0.0,5,140,0,0,0,0,0,28
2017,"Нарушение законодательства о собраниях, митингах, демонстрациях, шествиях и пикетировании (5.38 КоАП)","Нарушение законодательства о собраниях, митингах, демонстрациях, шествиях и пикетировании (5.38 КоАП)",15,7,46.0,3,0.0,7,82,0,0,0,0,0,12
2016,Отказ в предоставлении информации (5.39 КоАП),Отказ в предоставлении информации (5.39 КоАП),153,120,78.0,14,0.0,120,144,0,0,0,0,0,1
2017,Отказ в предоставлении информации (5.39 КоАП),Отказ в предоставлении информации (5.39 КоАП),333,248,74.0,40,0.0,242,663,0,0,0,0,0,3
2016,Принуждение к участию или отказу от участия в забастовке (5.40 КоАП),Принуждение к участию или отказу от участия в забастовке (5.40 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
2017,Принуждение к участию или отказу от участия в забастовке (5.40 КоАП),Принуждение к участию или отказу от участия в забастовке (5.40 КоАП),0,0,0.0,0,0.0,0,0,0,0,0,0,0,0
