Год,Метка_норм,Показатель,Кол-во ходатайств,Удовлетворено,Отклонено,Доля удовлетворенных,Доля отклоненных
2017,"О применении принудительных мер воспитательного воздействия по делам, прекращенным следователем и дознавателем","О применении принудительных мер воспитательного воздействия по делам, прекращенным следователем и дознавателем",2542,2336,82,91.0,3.0
2016,Об отмене принудительных мер воспитательного воздействия,Об отмене принудительных мер воспитательного воздействия,94,51,26,54.0,27.0
2017,Об отмене принудительных мер воспитательного воздействия,Об отмене принудительных мер воспитательного воздействия,112,55,25,49.0,22.0
2016,В порядке исполнения приговоров иностранных государств,В порядке исполнения приговоров иностранных государств,99,62,19,62.0,19.0
2017,В порядке исполнения приговоров иностранных государств,В порядке исполнения приговоров иностранных государств,79,52,7,65.0,8.0
2016,"О прекращении, изменении или продлении применения принудительной меры медицинского характера","О прекращении, изменении или продлении применения принудительной меры медицинского характера",39940,37656,1031,94.0,2.0
2017,"О прекращении, изменении или продлении применения принудительной меры медицинского характера","О прекращении, изменении или продлении применения принудительной меры медицинского характера",42105,39729,1070,94.0,2.0
2016,Об избрании меры пресечения в виде заключения под стражу,Об избрании меры пресечения в виде заключения под стражу,135010,121796,11824,90.0,8.0
2017,Об избрании меры пресечения в виде заключения под стражу,Об избрании меры пресечения в виде заключения под стражу,126290,113260,11860,89.0,9.0
2016,Об избрании меры пресечения в виде домашнего ареста,Об избрании меры пресечения в виде домашнего ареста,6857,6056,697,88.0,10.0
2017,Об избрании меры пресечения в виде домашнего ареста,Об избрании меры пресечения в виде домашнего ареста,7339,6442,766,87.0,10.0
2016,О продлении срока содержания под стражей,О продлении срока содержания под стражей,228276,223306,3578,97.0,1.0
2017,О продлении срока содержания под стражей,О продлении срока содержания под стражей,214848,209805,3754,97.0,1.0
2016,Об избрании меры пресечения в виде залога,Об избрании меры пресечения в виде залога,269,229,28,85.0,10.0
2017,Об избрании меры пресечения в виде залога,Об избрании меры пресечения в виде залога,169,133,25,78.0,14.0
2016,О продлении срока домашнего ареста,О продлении срока домашнего ареста,20382,19514,682,95.0,3.0
2017,О продлении срока домашнего ареста,О продлении срока домашнего ареста,25168,24121,784,95.0,3.0
2016,О временном отстранении подозреваемого или обвиняемого от должности,О временном отстранении подозреваемого или обвиняемого от должности,790,548,162,69.0,20.0
2017,О временном отстранении подозреваемого или обвиняемого от должности,О временном отстранении подозреваемого или обвиняемого от должности,738,523,131,70.0,17.0
2016,"О помещении подозреваемого, обвиняемого, не находящегося под стражей, в медицинский или психиатрический стационар","О помещении подозреваемого, обвиняемого, не находящегося под стражей, в медицинский или психиатрический стационар",8600,7869,289,91.0,3.0
2017,"О помещении подозреваемого, обвиняемого, не находящегося под стражей, в медицинский или психиатрический стационар","О помещении подозреваемого, обвиняемого, не находящегося под стражей, в медицинский или психиатрический стационар",8576,7846,263,91.0,3.0
2016,О производстве осмотра жилища при отсутствии согласия проживающих в нем лиц,О производстве осмотра жилища при отсутствии согласия проживающих в нем лиц,127422,122858,3542,96.0,2.0
2017,О производстве осмотра жилища при отсутствии согласия проживающих в нем лиц,О производстве осмотра жилища при отсутствии согласия проживающих в нем лиц,80112,77031,2268,96.0,2.0
2016,О производстве обыска и (или) выемки в жилище,О производстве обыска и (или) выемки в жилище,65924,63275,2005,96.0,3.0
2017,О производстве обыска и (или) выемки в жилище,О производстве обыска и (или) выемки в жилище,122830,117644,3923,95.0,3.0
2016,О производстве выемки заложенной или сданной на хранение в ломбард вещи,О производстве выемки заложенной или сданной на хранение в ломбард вещи,4017,3922,62,97.0,1.0
2017,О производстве выемки заложенной или сданной на хранение в ломбард вещи,О производстве выемки заложенной или сданной на хранение в ломбард вещи,6507,6348,79,97.0,1.0
2016,О производстве личного обыска,О производстве личного обыска,4656,4458,158,95.0,3.0
2017,О производстве личного обыска,О производстве личного обыска,1376,1333,32,96.0,2.0
2016,"О производстве выемки предметов и документов, содержащих информацию о вкладах и счетах в банках и иных кредитных организациях","О производстве выемки предметов и документов, содержащих информацию о вкладах и счетах в банках и иных кредитных организациях",78461,76310,1538,97.0,2.0
2017,"О производстве выемки предметов и документов, содержащих информацию о вкладах и счетах в банках и иных кредитных организациях","О производстве выемки предметов и документов, содержащих информацию о вкладах и счетах в банках и иных кредитных организациях",68871,66763,1360,96.0,2.0
2016,"О наложении ареста на корреспонденцию, разрешении на ее осмотр и выемку в учреждениях связи","О наложении ареста на корреспонденцию, разрешении на ее осмотр и выемку в учреждениях связи",21010,20460,391,97.0,1.0
2017,"О наложении ареста на корреспонденцию, разрешении на ее осмотр и выемку в учреждениях связи","О наложении ареста на корреспонденцию, разрешении на ее осмотр и выемку в учреждениях связи",13912,13592,204,97.0,1.0
2016,"О наложении ареста на имущество, включая денежные средства физических и юридических лиц, находящиеся на счетах и во вкладах или на хранении в банках и иных кредитных организациях","О наложении ареста на имущество, включая денежные средства физических и юридических лиц, находящиеся на счетах и во вкладах или на хранении в банках и иных кредитных организациях",44154,38921,4202,88.0,9.0
2017,"О наложении ареста на имущество, включая денежные средства физических и юридических лиц, находящиеся на счетах и во вкладах или на хранении в банках и иных кредитных организациях","О наложении ареста на имущество, включая денежные средства физических и юридических лиц, находящиеся на счетах и во вкладах или на хранении в банках и иных кредитных организациях",45508,39751,4269,87.0,9.0
2016,О контроле и записи телефонных и иных переговоров,О контроле и записи телефонных и иных переговоров,167052,162961,3053,97.0,1.0
2017,О контроле и записи телефонных и иных переговоров,О контроле и записи телефонных и иных переговоров,87002,84593,1552,97.0,1.0
2016,О получении информации о соединениях между абонентами и (или) абонентскими устройствами,О получении информации о соединениях между абонентами и (или) абонентскими устройствами,126306,123092,2332,97.0,1.0
2017,О получении информации о соединениях между абонентами и (или) абонентскими устройствами,О получении информации о соединениях между абонентами и (или) абонентскими устройствами,226382,220083,4132,97.0,1.0
2017,О возмещении имущественного вреда ( п.3.1 ч.2 ст. 29 УПК РФ),О возмещении имущественного вреда (п. 3.1 ч. 2 ст. 29 УПК РФ),30,23,5,76.0,16.0
2017,"О реализации, об утилизации или уничтожении вещественных доказательств ( п.10.1 ч.2 ст. 29 УПК РФ)","О реализации, об утилизации или уничтожении вещественных доказательств (п. 10.1 ч. 2 ст. 29 УПК РФ)",1320,1032,174,78.0,13.0
