Год,Метка_норм,Показатель,Кол-во ходатайств,Удовлетворено,Отклонено,Доля удовлетворенных,Доля отклоненных
2018,"Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",99646,49292,36916,49.5,37.0
2020,"Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",83147,38912,29971,46.0,36.0
2022,"Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",65911,27002,25472,40.0,38.0
2021,"Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",69302,29759,26312,42.0,38.0
2023,"Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",51279,20703,18772,40.0,37.0
2019,"Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об условно-досрочном освобождении от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",92545,45387,33468,49.0,36.0
2024,"Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",2670,801,1068,30.0,40.0
2018,"Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",879,374,315,42.5,35.8
2020,"Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",688,263,259,38.0,37.0
2022,"Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",4046,1181,1759,29.0,43.0
2021,"Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",1909,630,681,33.0,35.0
2023,"Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",3681,1070,1527,29.0,41.0
2019,"Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ","Об отмене условно-досрочного освобождения от лишения свободы, содержания в дисциплинарной воинской части, принудительных работ",802,342,280,42.0,34.0
2024,О назначении судебно-психиатрической экспертизы,О назначении судебно-психиатрической экспертизы,77,44,10,57.0,12.0
2018,О назначении судебно-психиатрической экспертизы,О назначении судебно-психиатрической экспертизы,57,36,6,63.2,10.5
2020,О назначении судебно-психиатрической экспертизы,О назначении судебно-психиатрической экспертизы,63,29,11,46.0,17.0
2022,О назначении судебно-психиатрической экспертизы,О назначении судебно-психиатрической экспертизы,164,94,15,57.0,9.0
2021,О назначении судебно-психиатрической экспертизы,О назначении судебно-психиатрической экспертизы,74,41,11,55.0,14.0
2023,О назначении судебно-психиатрической экспертизы,О назначении судебно-психиатрической экспертизы,87,59,8,68.0,9.0
2019,О назначении судебно-психиатрической экспертизы,О назначении судебно-психиатрической экспертизы,73,46,8,63.0,11.0
2024,О замене неотбытого срока лишения свободы более мягким видом наказания,О замене неотбытого срока лишения свободы более мягким видом наказания,3412,1240,796,36.0,23.0
2018,О замене неотбытого срока лишения свободы более мягким видом наказания,О замене неотбытого срока лишения свободы более мягким видом наказания,57000,22143,24478,38.8,42.9
2020,О замене неотбытого срока лишения свободы более мягким видом наказания,О замене неотбытого срока лишения свободы более мягким видом наказания,68380,24902,27713,36.0,40.0
2022,О замене неотбытого срока лишения свободы более мягким видом наказания,О замене неотбытого срока лишения свободы более мягким видом наказания,59111,18873,24115,31.0,40.0
2021,О замене неотбытого срока лишения свободы более мягким видом наказания,О замене неотбытого срока лишения свободы более мягким видом наказания,62997,21487,25646,34.0,40.0
2023,О замене неотбытого срока лишения свободы более мягким видом наказания,О замене неотбытого срока лишения свободы более мягким видом наказания,44004,15070,16027,34.0,36.0
2019,О замене неотбытого срока лишения свободы более мягким видом наказания,О замене неотбытого срока лишения свободы более мягким видом наказания,79804,27758,34429,34.0,43.0
2024,"О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)","О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)",10290,2307,1532,22.0,14.0
2018,"О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)","О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)",16493,6488,2951,39.3,17.9
2020,"О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)","О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)",14323,4836,2698,33.0,18.0
2022,"О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)","О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)",15969,4463,2854,27.0,17.0
2021,"О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)","О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)",16377,5092,2966,31.0,18.0
2023,"О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)","О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)",2864,1044,792,36.0,28.0
2019,"О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)","О замене штрафа иными видами наказаний, не связанными с лишением свободы (кроме кратного штрафа за подкуп и взятку)",17051,6534,2990,38.0,17.0
2024,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,20054,14546,3038,72.0,15.0
2018,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,19814,15000,3161,75.7,16.0
2020,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,16618,12534,2251,75.0,13.0
2022,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,18366,13617,2579,74.0,14.0
2021,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,16449,12143,2283,73.0,13.0
2023,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,21251,15635,3042,74.0,14.0
2019,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,Об отмене условного осуждения до истечения испытательного срока и снятии судимости,19850,14922,3113,75.0,15.0
2024,О продлении срока условного осуждения,О продлении срока условного осуждения,64826,54426,4695,83.0,7.0
2018,О продлении срока условного осуждения,О продлении срока условного осуждения,94820,82377,6640,86.9,7.0
2020,О продлении срока условного осуждения,О продлении срока условного осуждения,80233,68132,5727,84.0,7.0
2022,О продлении срока условного осуждения,О продлении срока условного осуждения,87418,74472,5952,85.0,6.0
2021,О продлении срока условного осуждения,О продлении срока условного осуждения,88003,74910,6118,85.0,7.0
2023,О продлении срока условного осуждения,О продлении срока условного осуждения,82137,69722,5633,85.0,7.0
2019,О продлении срока условного осуждения,О продлении срока условного осуждения,92901,80322,6703,86.0,7.0
2019,"Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления","Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления",39069,16582,15840,42.0,40.0
2024,"Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления","Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления",32119,12250,11272,38.0,35.0
2018,"Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления","Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления",38395,16584,15663,43.2,40.8
2020,"Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления","Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления",32905,12455,13339,37.0,40.0
2022,"Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления","Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления",40368,15801,15163,39.0,37.0
2021,"Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления","Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления",37104,14661,14232,39.0,38.0
2023,"Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления","Об отмене условного осуждения в связи с неисполнением возложенных обязанностей, уклонением от возмещения вреда или совершением нового преступления",40886,15893,15000,39.0,37.0
2019,Об отмене либо о дополнении возложенных на осужденного обязанностей,Об отмене либо о дополнении возложенных на осужденного обязанностей,29934,24368,3466,81.0,11.0
2024,Об отмене либо о дополнении возложенных на осужденного обязанностей,Об отмене либо о дополнении возложенных на осужденного обязанностей,26266,20661,3388,78.0,12.0
2018,Об отмене либо о дополнении возложенных на осужденного обязанностей,Об отмене либо о дополнении возложенных на осужденного обязанностей,29048,24342,3070,83.8,10.6
2020,Об отмене либо о дополнении возложенных на осужденного обязанностей,Об отмене либо о дополнении возложенных на осужденного обязанностей,27882,22102,3474,79.0,12.0
2022,Об отмене либо о дополнении возложенных на осужденного обязанностей,Об отмене либо о дополнении возложенных на осужденного обязанностей,30713,24303,3784,79.0,12.0
2021,Об отмене либо о дополнении возложенных на осужденного обязанностей,Об отмене либо о дополнении возложенных на осужденного обязанностей,29062,23437,3343,80.0,11.0
2023,Об отмене либо о дополнении возложенных на осужденного обязанностей,Об отмене либо о дополнении возложенных на осужденного обязанностей,31573,25031,3994,79.0,13.0
2019,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,5918,4604,761,77.0,12.0
2024,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,9252,7206,987,77.0,10.0
2018,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,2930,2330,365,79.5,12.5
2020,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,6810,5267,790,77.0,11.0
2022,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,8234,6492,894,78.0,10.0
2021,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,7396,5807,811,78.0,11.0
2023,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,Об отмене частично либо о дополнении установленных осужденному к наказанию в виде ограничения свободы ограничений,9391,7351,1040,78.0,11.0
2019,"О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении","О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении",15220,6514,2071,42.0,13.0
2024,"О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении","О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении",9847,2995,1460,30.0,14.0
2018,"О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении","О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении",31585,21231,2460,67.2,7.8
2020,"О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении","О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении",12215,4339,1823,35.0,14.0
2022,"О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении","О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении",13589,3873,1961,28.0,14.0
2021,"О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении","О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении",13519,4385,2097,32.0,15.0
2023,"О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении","О зачете времени содержания под стражей, а также времени пребывания в лечебном учреждении",11757,3614,1688,31.0,14.0
2019,"О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью","О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью",1140,305,453,26.0,39.0
2024,"О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью","О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью",1279,328,477,25.0,37.0
2018,"О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью","О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью",1344,346,496,25.7,36.9
2020,"О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью","О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью",905,248,331,27.0,36.0
2022,"О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью","О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью",1015,296,331,29.0,32.0
2021,"О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью","О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью",945,278,294,29.0,31.0
2023,"О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью","О предоставлении отсрочки женщине (мужчине), имеющим детей (до 14 лет) и женщине в связи с беременностью",1134,374,299,33.0,26.0
2019,"О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет","О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет",664,302,235,45.0,35.0
2024,"О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет","О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет",749,340,250,45.0,33.0
2018,"О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет","О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет",520,243,198,46.7,38.1
2020,"О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет","О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет",613,276,231,45.0,37.0
2022,"О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет","О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет",744,306,277,41.0,37.0
2021,"О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет","О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет",660,302,236,45.0,35.0
2023,"О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет","О досрочной отмене отсрочки беременной женщине, осужденному лицу, имеющему ребенка в возрасте до 14-ти лет",758,368,239,49.0,32.0
2019,"Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср","Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср",543,384,99,70.0,18.0
2024,"Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср","Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср",697,501,104,71.0,14.0
2018,"Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср","Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср",459,337,69,73.4,15.0
2020,"Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср","Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср",540,385,83,71.0,15.0
2022,"Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср","Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср",697,505,97,72.0,13.0
2021,"Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср","Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср",586,418,98,71.0,16.0
2023,"Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср","Об освобождении от наказания и замене более мягким наказания осужденному с отсрочкой исполнения приговора по достижении ребенком 14-летнего возраста, а также о сокращении срока отсрочки отбывания наказания и об освобождении от наказания осужденного с отср",695,504,110,73.0,16.0
2019,"Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами","Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами",1365,460,346,33.0,25.0
2024,"Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами","Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами",2522,1288,316,51.0,12.0
2018,"Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами","Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами",1392,414,368,29.7,26.4
2020,"Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами","Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами",1645,486,398,29.0,24.0
2022,"Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами","Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами",1727,660,328,38.0,18.0
2021,"Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами","Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами",1176,420,245,35.0,20.0
2023,"Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами","Об отсрочке исполнения приговора в связи с болезнью осужденного, тяжкими последствиями и другими исключительными обстоятельствами",3335,1831,415,55.0,12.0
2019,"О применении принудительных мер воспитательного воздействия к несовершеннолетним по делам, прекращенным следователем и дознавателем","О применении принудительных мер воспитательного воздействия к несовершеннолетним по делам, прекращенным следователем и дознавателем",3204,2914,109,90.0,3.0
