Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено исков,Доля удовлетворенных исков,Взысканная сумма (тыс. рублей),Доля удовлетворённых требований,Средняя сумма иска (тыс. рублей)
2018,Иски о признании права собственности на землю,Иски о признании права собственности на землю,801,431,53.8,1967,1.5,5
2019,Иски об истребовании земельного участка из чужого незаконного владения,Иски об истребовании земельного участка из чужого незаконного владения,563,287,51.0,12580,6.0,43
2020,Иски об истребовании земельного участка из чужого незаконного владения,Иски об истребовании земельного участка из чужого незаконного владения,493,227,46.0,5199,6.0,23
2022,Иски о возмещении причиненного таможенными и органами вреда,Иски о возмещении причиненного таможенными и органами вреда,74,42,56.0,29548,14.0,703
2023,Иски о возмещении причиненного таможенными и органами вреда,Иски о возмещении причиненного таможенными и органами вреда,161,10,6.0,55132,23.0,5513
2024,Иски о возмещении причиненного налоговым и органами вреда,Иски о возмещении причиненного налоговым и органами вреда,31,11,35.0,6766,5.0,615
2021,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,0,0,0.0,0,0.0,0
2018,Иски об истребовании земельного участка из чужого незаконного владения,Иски об истребовании земельного участка из чужого незаконного владения,521,270,51.8,9874,5.4,37
2019,"Иски об устранении нарушений прав собственника земли, не связанных с лишением владения","Иски об устранении нарушений прав собственника земли, не связанных с лишением владения",1569,677,43.0,174503,24.0,257
2020,"Иски об устранении нарушений прав собственника земли, не связанных с лишением владения","Иски об устранении нарушений прав собственника земли, не связанных с лишением владения",1152,503,43.0,31932,3.0,63
2022,"Споры, связанные с применением законодательства об охране окружающей среды","Споры, связанные с применением законодательства об охране окружающей среды",2120,1447,68.0,10452214,49.0,7223
2023,"Споры, связанные с применением законодательства об охране окружающей среды","Споры, связанные с применением законодательства об охране окружающей среды",3056,431,14.0,168399628,46.0,390718
2024,Таможенные споры,Таможенные споры,4652,2004,43.0,11145552,182.0,5561
2021,Иски об оспаривании решений таможенной службы,Иски об оспаривании решений таможенной службы,4858,2401,49.0,14230,6.0,6
2018,"Иски об устранении нарушений прав собственника земли, не связанных с лишением владения","Иски об устранении нарушений прав собственника земли, не связанных с лишением владения",1568,754,48.1,60852,10.9,81
2019,Споры в связи с неисполнением или ненадлежащим исполнением договоров купли-продажи земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров купли-продажи земли,376,206,54.0,541636,16.0,2629
2020,Споры в связи с неисполнением или ненадлежащим исполнением договоров купли-продажи земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров купли-продажи земли,366,185,50.0,658672,27.0,3560
2022,Земельные правоотношения,Земельные правоотношения,52791,35886,67.0,20003880,17.0,557
2023,Земельные правоотношения,Земельные правоотношения,50340,8187,16.0,20820658,35.0,2543
2024,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,0,0,0.0,0,0.0,0
2021,"Иски о взыскании таможенных пошлин, налогов","Иски о взыскании таможенных пошлин, налогов",468,382,81.0,6673373,55.0,17470
2018,Споры в связи с неисполнением или ненадлежащим исполнением договоров купли-продажи земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров купли-продажи земли,426,206,48.4,1501508,56.2,7289
2018,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,42360,32074,75.7,22510900,38.6,702
2019,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,43050,32658,75.0,26911043,46.0,824
