Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено исков,Доля удовлетворенных исков,Взысканная сумма (тыс. рублей),Доля удовлетворённых требований,Средняя сумма иска (тыс. рублей)
2017,Споры о заключении договоров (всего),Споры о заключении договоров (всего),3781,1710,45.0,578298,8.0,338
2016,Споры о заключении договоров (всего),Споры о заключении договоров (всего),4644,2271,48.0,1025166,42.0,451
2017,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,255,133,52.0,77296,3.0,581
2016,Споры о заключении государственных контрактов,Споры о заключении государственных контрактов,337,176,52.0,171636,44.0,975
2017,Споры в сфере государственных закупок,Споры в сфере государственных закупок,11958,9565,80.0,9119345,39.0,953
2016,Споры в сфере государственных закупок,Споры в сфере государственных закупок,9396,6661,70.0,8456276,38.0,1270
2017,Споры о признании договоров недействительными,Споры о признании договоров недействительными,6069,2290,37.0,3414924,40.0,1491
2016,Споры о признании договоров недействительными,Споры о признании договоров недействительными,7791,2806,36.0,1596579,10.0,569
2017,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,473785,381369,80.0,618365187,46.0,1621
2016,Споры по договорам купли-продажи и поставки,Споры по договорам купли-продажи и поставки,435416,337489,77.0,571729024,49.0,1694
2017,Споры по договорам поставки (всего),Споры по договорам поставки (всего),185617,146754,79.0,295162721,54.0,2011
2016,Споры по договорам поставки (всего),Споры по договорам поставки (всего),191856,147580,76.0,256816496,48.0,1740
2017,Споры по государственным контрактам,Споры по государственным контрактам,13475,11203,83.0,7199968,41.0,643
2016,Споры по государственным контрактам,Споры по государственным контрактам,9226,7261,78.0,5576618,49.0,768
2017,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,272187,222444,81.0,296736314,41.0,1334
2016,Споры по договорам энергоснабжения,Споры по договорам энергоснабжения,223767,176105,78.0,288369150,53.0,1637
2017,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,2057,1321,64.0,3641476,51.0,2757
2016,Споры по договорам купли-продажи недвижимости и предприятий,Споры по договорам купли-продажи недвижимости и предприятий,3084,964,31.0,3813431,37.0,3956
2017,Споры по договорам аренды,Споры по договорам аренды,73508,56230,76.0,62082273,27.0,1104
2016,Споры по договорам аренды,Споры по договорам аренды,78337,58891,75.0,66901449,47.0,1136
2017,Споры по договорам финансовой аренды (лизинга),Споры по договорам финансовой аренды (лизинга),8747,5994,68.0,11883865,11.0,1983
2016,Споры по договорам финансовой аренды (лизинга),Споры по договорам финансовой аренды (лизинга),10529,7349,69.0,19055622,48.0,2593
2017,Споры по договорам подряда,Споры по договорам подряда,101162,72670,71.0,188507674,26.0,2594
2016,Споры по договорам подряда,Споры по договорам подряда,105288,74384,70.0,227537152,35.0,3059
2017,Споры по договорам строительного подряда,Споры по договорам строительного подряда,28231,19197,68.0,80214393,21.0,4178
2016,Споры по договорам строительного подряда,Споры по договорам строительного подряда,29211,19842,67.0,110135141,33.0,5551
2017,Споры по договорам долевого участия в строительстве,Споры по договорам долевого участия в строительстве,2827,2056,72.0,5198244,39.0,2528
2016,Споры по договорам долевого участия в строительстве,Споры по договорам долевого участия в строительстве,2197,1381,62.0,7541268,36.0,5461
2017,Споры по договорам в сфере транспортной деятельности,Споры по договорам в сфере транспортной деятельности,30849,23451,76.0,15849035,25.0,676
2016,Споры по договорам в сфере транспортной деятельности,Споры по договорам в сфере транспортной деятельности,30602,22794,74.0,17468696,24.0,766
2017,Споры по договорам перевозки,Споры по договорам перевозки,17436,13120,75.0,8135941,23.0,620
2016,Споры по договорам перевозки,Споры по договорам перевозки,18671,14052,75.0,11644788,44.0,829
2017,Споры по договорам международной перевозки,Споры по договорам международной перевозки,235,175,74.0,144653,56.0,827
2016,Споры по договорам международной перевозки,Споры по договорам международной перевозки,252,221,87.0,165639,56.0,749
2017,Споры по договорам по договорам транспортной экспедиции,Споры по договорам по договорам транспортной экспедиции,3528,2589,73.0,2589277,66.0,1000
2016,Споры по договорам по договорам транспортной экспедиции,Споры по договорам по договорам транспортной экспедиции,4090,2933,71.0,3658640,38.0,1247
2017,Споры по договорам займа и кредита,Споры по договорам займа и кредита,16524,12217,73.0,484593432,60.0,39666
2016,Споры по договорам займа и кредита,Споры по договорам займа и кредита,18112,13290,73.0,636363927,61.0,47883
2017,Споры по договорам банковского счета,Споры по договорам банковского счета,10325,9236,89.0,15022308,46.0,1626
2016,Споры по договорам банковского счета,Споры по договорам банковского счета,6151,5201,84.0,21748503,44.0,4182
2017,Споры по договорам страхования,Споры по договорам страхования,132493,99652,75.0,11123389,2.0,112
2016,Споры по договорам страхования,Споры по договорам страхования,224392,172142,76.0,12929045,37.0,75
2017,Споры по договорам хранения,Споры по договорам хранения,1627,1153,70.0,2836531,30.0,2460
2016,Споры по договорам хранения,Споры по договорам хранения,1731,1205,69.0,4627062,39.0,3840
2017,Споры по договорам возмездного оказания услуг,Споры по договорам возмездного оказания услуг,151779,123411,81.0,77579863,44.0,629
2016,Споры по договорам возмездного оказания услуг,Споры по договорам возмездного оказания услуг,151102,116458,77.0,82340205,39.0,707
2017,Споры по договорам посредническим договорам,Споры по договорам посредническим договорам,2655,2010,75.0,12961583,59.0,6449
2016,Споры по договорам посредническим договорам,Споры по договорам посредническим договорам,2700,1982,73.0,4242336,31.0,2140
2017,Споры по иным видам договоров,Споры по иным видам договоров,11516,7990,69.0,40471282,43.0,5065
2016,Споры по иным видам договоров,Споры по иным видам договоров,12914,8577,66.0,34706958,28.0,4047
2017,Споры о неисполнении или ненадлежащем исполнении обязательств,Споры о неисполнении или ненадлежащем исполнении обязательств,1009050,791445,78.0,1534590801,39.0,1939
2016,Споры о неисполнении или ненадлежащем исполнении обязательств,Споры о неисполнении или ненадлежащем исполнении обязательств,1068942,813794,76.0,1688135625,48.0,2074
2017,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,23270,17438,74.0,8048987,42.0,462
2016,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,Иски о возмещении убытков за неисполнении или ненадлежащем исполнении обязательств,33877,25431,75.0,12464737,26.0,490
2017,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,216095,191177,88.0,59556168,50.0,312
2016,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,Иски о взыскании неустоки за неисполнении или ненадлежащем исполнении обязательств,188787,164165,87.0,65444955,45.0,399
2017,Иски об изменении или расторжение договора,Иски об изменении или расторжение договора,5057,2978,58.0,5305193,42.0,1781
2016,Иски об изменении или расторжение договора,Иски об изменении или расторжение договора,6228,3709,59.0,7130432,28.0,1922
2017,Корпоративные споры,Корпоративные споры,18390,10170,55.0,251138610,80.0,24694
2016,Корпоративные споры,Корпоративные споры,15668,8481,54.0,20045245,17.0,2364
2017,"Споры о создании, реорганизации и ликвидацией юридических лица","Споры о создании, реорганизации и ликвидацией юридических лица",859,557,64.0,1108351,91.0,1990
2016,"Споры о создании, реорганизации и ликвидацией юридических лица","Споры о создании, реорганизации и ликвидацией юридических лица",692,422,61.0,273454,92.0,648
2017,Споры о принадлежности акций и долей,Споры о принадлежности акций и долей,4119,2809,68.0,11677224,41.0,4157
2016,Споры о принадлежности акций и долей,Споры о принадлежности акций и долей,2884,1850,64.0,5024226,34.0,2716
2017,Иски участников о возмещении убытков юрлицам,Иски участников о возмещении убытков юрлицам,758,324,42.0,149569224,93.0,461633
2016,Иски участников о возмещении убытков юрлицам,Иски участников о возмещении убытков юрлицам,695,241,34.0,2551287,5.0,10586
2017,Споры о признании сделок недействительными,Споры о признании сделок недействительными,1322,306,23.0,436000,21.0,1425
2016,Споры о признании сделок недействительными,Споры о признании сделок недействительными,1283,323,25.0,551361,52.0,1707
2017,Иски о руководителях и топ-менеджерах,Иски о руководителях и топ-менеджерах,268,128,47.0,53346,21.0,417
2016,Иски о руководителях и топ-менеджерах,Иски о руководителях и топ-менеджерах,331,131,39.0,28867,0.0,220
2017,"Споры, связанные с эмиссией ценных бумаг","Споры, связанные с эмиссией ценных бумаг",20,8,40.0,340,100.0,43
2016,"Споры, связанные с эмиссией ценных бумаг","Споры, связанные с эмиссией ценных бумаг",32,4,12.0,0,0.0,0
2016,"Споры, вытекающие из деятельности регистраторов","Споры, вытекающие из деятельности регистраторов",43,18,41.0,473270,89.0,26293
2017,"Споры, вытекающие из деятельности регистраторов","Споры, вытекающие из деятельности регистраторов",46,23,50.0,10346,63.0,450
2016,Иски о созыве общих собраний участников,Иски о созыве общих собраний участников,134,67,50.0,0,0.0,0
2017,Иски о созыве общих собраний участников,Иски о созыве общих собраний участников,123,54,43.0,12,1.0,0
2016,Споры об обжаловании решений органов управления юрлиц,Споры об обжаловании решений органов управления юрлиц,1136,408,35.0,15889,16.0,39
2017,Споры об обжаловании решений органов управления юрлиц,Споры об обжаловании решений органов управления юрлиц,1032,419,40.0,146236,83.0,349
2016,Иски против нотариусов по удостоверению сделок с долями ООО,Иски против нотариусов по удостоверению сделок с долями ООО,10,2,20.0,0,0.0,0
2017,Иски против нотариусов по удостоверению сделок с долями ООО,Иски против нотариусов по удостоверению сделок с долями ООО,8,5,62.0,1050,2.0,210
2016,Споры о ценных бумагах,Споры о ценных бумагах,873,508,58.0,54961111,19.0,108191
2017,Споры о ценных бумагах,Споры о ценных бумагах,736,443,60.0,32079887,46.0,72415
2016,Иски о ненадлежащем исполнении и возмещении убытков владельцам ценных бумаг,Иски о ненадлежащем исполнении и возмещении убытков владельцам ценных бумаг,208,124,59.0,9454739,69.0,76248
2017,Иски о ненадлежащем исполнении и возмещении убытков владельцам ценных бумаг,Иски о ненадлежащем исполнении и возмещении убытков владельцам ценных бумаг,161,86,53.0,4505973,22.0,52395
2016,"Споры, вытекающие из деятельности депозитариев","Споры, вытекающие из деятельности депозитариев",14,5,35.0,571206,46.0,114241
2017,"Споры, вытекающие из деятельности депозитариев","Споры, вытекающие из деятельности депозитариев",13,9,69.0,383113,95.0,42568
2016,"Споры, связанные с защитой вещных прав","Споры, связанные с защитой вещных прав",14317,7455,52.0,1671603,20.0,224
2017,"Споры, связанные с защитой вещных прав","Споры, связанные с защитой вещных прав",12688,6773,53.0,404544,6.0,60
2016,Иски о признании права собственности,Иски о признании права собственности,7920,4860,61.0,47928,1.0,10
2017,Иски о признании права собственности,Иски о признании права собственности,6946,4409,63.0,131378,6.0,30
2016,Иски об истребовании имущества из чужого незаконного владения,Иски об истребовании имущества из чужого незаконного владения,1981,723,36.0,1320599,36.0,1827
2017,Иски об истребовании имущества из чужого незаконного владения,Иски об истребовании имущества из чужого незаконного владения,1710,658,38.0,118710,4.0,180
2016,"Иски об устранении нарушений прав собственника, не связанных с лишением владения","Иски об устранении нарушений прав собственника, не связанных с лишением владения",1767,684,38.0,31919,20.0,47
2017,"Иски об устранении нарушений прав собственника, не связанных с лишением владения","Иски об устранении нарушений прав собственника, не связанных с лишением владения",1772,709,40.0,12380,2.0,17
2016,Иски о защите деловой репутации,Иски о защите деловой репутации,747,177,23.0,18782,5.0,106
2017,Иски о защите деловой репутации,Иски о защите деловой репутации,846,327,38.0,126846,14.0,388
2016,"Споры, связанные с охраной интеллектуальной собственности","Споры, связанные с охраной интеллектуальной собственности",10511,7150,68.0,4587466,4.0,642
2017,"Споры, связанные с охраной интеллектуальной собственности","Споры, связанные с охраной интеллектуальной собственности",9502,6681,70.0,3264026,27.0,489
2016,Иски об обжаловании решений Роспатента по товарным знакам,Иски об обжаловании решений Роспатента по товарным знакам,19,6,31.0,345,4.0,58
2017,Иски об обжаловании решений Роспатента по товарным знакам,Иски об обжаловании решений Роспатента по товарным знакам,25,14,56.0,476,43.0,34
2016,"Иски об обжаловании решений Роспатента по изобретениям, полезным моделям, промышленным образцам","Иски об обжаловании решений Роспатента по изобретениям, полезным моделям, промышленным образцам",10,5,50.0,330,4.0,66
2017,"Иски об обжаловании решений Роспатента по изобретениям, полезным моделям, промышленным образцам","Иски об обжаловании решений Роспатента по изобретениям, полезным моделям, промышленным образцам",19,9,47.0,202,25.0,22
2016,Споры о защите исключительных прав (всего),Споры о защите исключительных прав (всего),3,1,33.0,15,3.0,15
2017,Споры о защите исключительных прав (всего),Споры о защите исключительных прав (всего),2,1,50.0,218,84.0,218
2016,Споры о защите авторских и смежных прав,Споры о защите авторских и смежных прав,9047,6159,68.0,2086678,2.0,339
2017,Споры о защите авторских и смежных прав,Споры о защите авторских и смежных прав,7458,5279,70.0,2157662,27.0,409
2016,Споры о защите патентных прав,Споры о защите патентных прав,4250,3149,74.0,491673,25.0,156
2017,Споры о защите патентных прав,Споры о защите патентных прав,2664,2019,75.0,476827,31.0,236
2016,Споры о защите селекционных достижений,Споры о защите селекционных достижений,78,30,38.0,47010,2.0,1567
2017,Споры о защите селекционных достижений,Споры о защите селекционных достижений,72,27,37.0,27472,1.0,1017
2016,Споры о защите прав на топологии интегральных микросхем,Споры о защите прав на топологии интегральных микросхем,14,7,50.0,1917,30.0,274
2017,Споры о защите прав на топологии интегральных микросхем,Споры о защите прав на топологии интегральных микросхем,8,7,87.0,742,14.0,106
2016,Споры о защите на секрет производства (ноу-хау),Споры о защите на секрет производства (ноу-хау),0,0,0.0,0,0.0,0
2017,Споры о защите на секрет производства (ноу-хау),Споры о защите на секрет производства (ноу-хау),1,1,100.0,3477,100.0,3477
2016,Споры о защите прав на средства индивидуализации,Споры о защите прав на средства индивидуализации,15,7,46.0,1347,10.0,192
2017,Споры о защите прав на средства индивидуализации,Споры о защите прав на средства индивидуализации,38,19,50.0,17632,51.0,928
2016,Споры о защите прав на товарные знаки,Споры о защите прав на товарные знаки,3312,2062,62.0,724424,0.0,351
2017,Споры о защите прав на товарные знаки,Споры о защите прав на товарные знаки,3377,2310,68.0,1417038,39.0,613
2016,Споры о защите прав на фирменные наименование,Споры о защите прав на фирменные наименование,2794,1753,62.0,692277,0.0,395
2017,Споры о защите прав на фирменные наименование,Споры о защите прав на фирменные наименование,2682,1873,69.0,1408066,41.0,752
2016,Иски возмещение убытков или взыскание компенсации за нарушение исключительных прав,Иски возмещение убытков или взыскание компенсации за нарушение исключительных прав,315,196,62.0,4248,14.0,22
2017,Иски возмещение убытков или взыскание компенсации за нарушение исключительных прав,Иски возмещение убытков или взыскание компенсации за нарушение исключительных прав,565,351,62.0,4687,5.0,13
2016,Иски о конфискации контрафактных экземпляров и оборудования,Иски о конфискации контрафактных экземпляров и оборудования,1920,1251,65.0,202554,2.0,162
2017,Иски о конфискации контрафактных экземпляров и оборудования,Иски о конфискации контрафактных экземпляров и оборудования,1659,1299,78.0,203935,21.0,157
2016,Споры из внедоговорных обязательств,Споры из внедоговорных обязательств,40511,26282,64.0,41294147,14.0,1571
2017,Споры из внедоговорных обязательств,Споры из внедоговорных обязательств,42082,27628,65.0,49560558,35.0,1794
2016,Внедоговорные споры о возмещении вреда (всего),Внедоговорные споры о возмещении вреда (всего),17886,11961,66.0,6545710,4.0,547
2017,Внедоговорные споры о возмещении вреда (всего),Внедоговорные споры о возмещении вреда (всего),19627,13414,68.0,10704619,31.0,798
2016,"Внедоговорные споры о возмещении вреда, причиненного федеральными гос органами","Внедоговорные споры о возмещении вреда, причиненного федеральными гос органами",706,249,35.0,1799487,37.0,7227
2017,"Внедоговорные споры о возмещении вреда, причиненного федеральными гос органами","Внедоговорные споры о возмещении вреда, причиненного федеральными гос органами",817,238,29.0,305526,12.0,1284
2016,"Внедоговорные споры о возмещении вреда, причиненного органами власти субъекта РФ","Внедоговорные споры о возмещении вреда, причиненного органами власти субъекта РФ",304,121,39.0,330776,8.0,2734
2017,"Внедоговорные споры о возмещении вреда, причиненного органами власти субъекта РФ","Внедоговорные споры о возмещении вреда, причиненного органами власти субъекта РФ",363,190,52.0,688595,13.0,3624
2016,"Внедоговорные споры о возмещении вреда, причиненного органами местного самоуправления","Внедоговорные споры о возмещении вреда, причиненного органами местного самоуправления",458,288,62.0,1016793,59.0,3531
2017,"Внедоговорные споры о возмещении вреда, причиненного органами местного самоуправления","Внедоговорные споры о возмещении вреда, причиненного органами местного самоуправления",582,412,70.0,1327038,44.0,3221
2016,Внедоговорные споры о возмещении вреда в связи с обеспечением иска,Внедоговорные споры о возмещении вреда в связи с обеспечением иска,6,3,50.0,10497,55.0,3499
2017,Внедоговорные споры о возмещении вреда в связи с обеспечением иска,Внедоговорные споры о возмещении вреда в связи с обеспечением иска,12,4,33.0,1298,3.0,325
2016,Внедоговорные споры о неосновательном обогащении,Внедоговорные споры о неосновательном обогащении,20206,12560,62.0,32976165,35.0,2625
2017,Внедоговорные споры о неосновательном обогащении,Внедоговорные споры о неосновательном обогащении,20930,13218,63.0,38225548,36.0,2892
2016,"Споры, связанные с применением бюджетного законодательства","Споры, связанные с применением бюджетного законодательства",3826,2705,70.0,3986584,37.0,1474
2017,"Споры, связанные с применением бюджетного законодательства","Споры, связанные с применением бюджетного законодательства",3577,2401,67.0,3023532,33.0,1259
2016,"Споры о создании, реорганизации и ликвидации организаций","Споры о создании, реорганизации и ликвидации организаций",5434,4111,75.0,7918,0.0,2
2017,"Споры о создании, реорганизации и ликвидации организаций","Споры о создании, реорганизации и ликвидации организаций",6523,5009,76.0,9182,2.0,2
2016,Споры о государственной регистрации юридических лиц и индивидуальных предпринимателей,Споры о государственной регистрации юридических лиц и индивидуальных предпринимателей,4540,1641,36.0,240782,91.0,147
2017,Споры о государственной регистрации юридических лиц и индивидуальных предпринимателей,Споры о государственной регистрации юридических лиц и индивидуальных предпринимателей,5232,1800,34.0,4830,5.0,3
2016,Иски о признании недействительной государственной регистрации юрлиц и ИП,Иски о признании недействительной государственной регистрации юрлиц и ИП,787,252,32.0,598,13.0,2
2017,Иски о признании недействительной государственной регистрации юрлиц и ИП,Иски о признании недействительной государственной регистрации юрлиц и ИП,1074,429,39.0,130,93.0,0
2016,Иски об обжаловании отказа в государственной регистрации юрлиц и ИП,Иски об обжаловании отказа в государственной регистрации юрлиц и ИП,683,164,24.0,3000,99.0,18
2017,Иски об обжаловании отказа в государственной регистрации юрлиц и ИП,Иски об обжаловании отказа в государственной регистрации юрлиц и ИП,1228,253,20.0,0,0.0,0
2016,Иски об уклонении от государственной регистрации юрлиц и ИП,Иски об уклонении от государственной регистрации юрлиц и ИП,39,13,33.0,0,0.0,0
2017,Иски об уклонении от государственной регистрации юрлиц и ИП,Иски об уклонении от государственной регистрации юрлиц и ИП,42,15,35.0,0,0.0,0
2016,Иски об оспаривании зарегистрированных прав на недвижимость,Иски об оспаривании зарегистрированных прав на недвижимость,422,131,31.0,6,0.0,0
2017,Иски об оспаривании зарегистрированных прав на недвижимость,Иски об оспаривании зарегистрированных прав на недвижимость,453,140,30.0,0,0.0,0
2016,Иски об обжаловании отказа в государственной регистрации прав на недвижимость,Иски об обжаловании отказа в государственной регистрации прав на недвижимость,2081,887,42.0,22,10.0,0
2017,Иски об обжаловании отказа в государственной регистрации прав на недвижимость,Иски об обжаловании отказа в государственной регистрации прав на недвижимость,1852,766,41.0,6,0.0,0
2016,Иски об уклонении от государственной регистрации прав на недвижимость,Иски об уклонении от государственной регистрации прав на недвижимость,238,101,42.0,678,19.0,7
2017,Иски об уклонении от государственной регистрации прав на недвижимость,Иски об уклонении от государственной регистрации прав на недвижимость,213,83,39.0,4694,29.0,57
2016,Налоговые споры,Налоговые споры,29319,8050,27.0,6744646,40.0,838
2017,Налоговые споры,Налоговые споры,45674,15183,33.0,10365814,45.0,683
2016,Иски об оспаривании нормативных правовых актов в сфере налогов и сборов,Иски об оспаривании нормативных правовых актов в сфере налогов и сборов,13,3,23.0,0,0.0,0
2017,Иски об оспаривании нормативных правовых актов в сфере налогов и сборов,Иски об оспаривании нормативных правовых актов в сфере налогов и сборов,14,9,64.0,0,0.0,0
2016,Иски об оспаривании решений налоговой службы,Иски об оспаривании решений налоговой службы,11809,5230,44.0,383299,10.0,73
2017,Иски об оспаривании решений налоговой службы,Иски об оспаривании решений налоговой службы,11994,5057,42.0,177766,4.0,35
2016,Иски о возмещении НДС,Иски о возмещении НДС,476,206,43.0,90881,3.0,441
2017,Иски о возмещении НДС,Иски о возмещении НДС,366,157,42.0,108074,35.0,688
2016,Иски о взыскании обязательных платежей и санкций,Иски о взыскании обязательных платежей и санкций,16627,2478,14.0,4499261,47.0,1816
2017,Иски о взыскании обязательных платежей и санкций,Иски о взыскании обязательных платежей и санкций,32850,9762,29.0,9892786,57.0,1013
2016,Иски о возврате из бюджета налогов и сборов,Иски о возврате из бюджета налогов и сборов,439,165,37.0,258500,20.0,1567
2017,Иски о возврате из бюджета налогов и сборов,Иски о возврате из бюджета налогов и сборов,423,144,34.0,276560,16.0,1921
2016,Иски о возмещении причиненного налоговым и органами вреда,Иски о возмещении причиненного налоговым и органами вреда,49,8,16.0,448,0.0,56
2017,Иски о возмещении причиненного налоговым и органами вреда,Иски о возмещении причиненного налоговым и органами вреда,70,20,28.0,950,1.0,48
2016,Таможенные споры,Таможенные споры,12182,7572,62.0,474224,23.0,63
2017,Таможенные споры,Таможенные споры,14315,8996,62.0,486227,29.0,54
2016,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,5,1,20.0,0,0.0,0
2017,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,Иски об оспаривании нормативных правовых актов в сфере таможенного дела,13,7,53.0,0,0.0,0
2016,Иски об оспаривании решений таможенной службы,Иски об оспаривании решений таможенной службы,9438,5128,54.0,101182,24.0,20
2017,Иски об оспаривании решений таможенной службы,Иски об оспаривании решений таможенной службы,11956,6795,56.0,61871,23.0,9
2016,"Иски о взыскании таможенных пошлин, налогов","Иски о взыскании таможенных пошлин, налогов",122,43,35.0,47278,4.0,1099
2017,"Иски о взыскании таможенных пошлин, налогов","Иски о взыскании таможенных пошлин, налогов",88,47,53.0,152474,30.0,3244
2016,Иски о возмещении причиненного таможенными и органами вреда,Иски о возмещении причиненного таможенными и органами вреда,236,196,83.0,189645,46.0,968
2017,Иски о возмещении причиненного таможенными и органами вреда,Иски о возмещении причиненного таможенными и органами вреда,238,183,76.0,110507,16.0,604
2016,"Споры, связанные с земельными правоотношениями и применением законодательства об охране окружающей среды","Споры, связанные с земельными правоотношениями и применением законодательства об охране окружающей среды",2062,1382,67.0,2572845,23.0,1862
2017,"Споры, связанные с земельными правоотношениями и применением законодательства об охране окружающей среды","Споры, связанные с земельными правоотношениями и применением законодательства об охране окружающей среды",2803,1677,59.0,2831608,39.0,1688
2016,Земельные правоотношения,Земельные правоотношения,51802,33094,63.0,25694586,41.0,776
2017,Земельные правоотношения,Земельные правоотношения,54391,37237,68.0,27612692,43.0,742
2016,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,4345,1567,36.0,18742,1.0,12
2017,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,Иски об оспаривании ненормативных правовых актов в сфере земельных правоотношений,3453,1342,38.0,14370,13.0,11
2016,Иски о признании права собственности на землю,Иски о признании права собственности на землю,873,375,43.0,45866,4.0,122
2017,Иски о признании права собственности на землю,Иски о признании права собственности на землю,796,407,51.0,155913,18.0,383
2016,Иски об истребовании земельного участка из чужого незаконного владения,Иски об истребовании земельного участка из чужого незаконного владения,829,372,44.0,8975,0.0,24
2017,Иски об истребовании земельного участка из чужого незаконного владения,Иски об истребовании земельного участка из чужого незаконного владения,640,297,46.0,17178,11.0,58
2016,"Иски об устранении нарушений прав собственника земли, не связанных с лишением владения","Иски об устранении нарушений прав собственника земли, не связанных с лишением владения",1804,924,51.0,30157,5.0,33
2017,"Иски об устранении нарушений прав собственника земли, не связанных с лишением владения","Иски об устранении нарушений прав собственника земли, не связанных с лишением владения",1524,693,45.0,37769,15.0,55
2016,Споры в связи с неисполнением или ненадлежащим исполнением договоров купли-продажи земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров купли-продажи земли,542,286,52.0,592070,17.0,2070
2017,Споры в связи с неисполнением или ненадлежащим исполнением договоров купли-продажи земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров купли-продажи земли,464,263,56.0,479573,17.0,1823
2016,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,Споры в связи с неисполнением или ненадлежащим исполнением договоров аренды земли,35623,25755,72.0,21729363,48.0,844
