Год,Метка_норм,Показатель,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2017,"О выселении из жилого помещения, занимаемого по договору социального найма","О выселении из жилого помещения, занимаемого по договору социального найма",7573,5589,73.0,1984,26.0,1269,0,0.0,39121,7
2016,"О выселении из жилого помещения, занимаемого по договору специализированного найма (служебного помещения, общежития и др.)","О выселении из жилого помещения, занимаемого по договору специализированного найма (служебного помещения, общежития и др.)",3224,2503,77.0,721,22.0,427,1,0.0,6542,3
2017,"О выселении из жилого помещения, занимаемого по договору специализированного найма (служебного помещения, общежития и др.)","О выселении из жилого помещения, занимаемого по договору специализированного найма (служебного помещения, общежития и др.)",4204,3356,79.0,848,20.0,469,0,0.0,13556,4
2016,"О выселении из жилого помещения, принадлежащего на праве","О выселении из жилого помещения, принадлежащего на праве",9465,8171,86.0,1294,13.0,1822,3,0.0,38385,5
2017,"О выселении из жилого помещения, принадлежащего на праве","О выселении из жилого помещения, принадлежащего на праве",17486,14768,84.0,2718,15.0,3053,0,0.0,56265,4
2016,Оспаривание решений о выселении военнослужащих,Оспаривание решений о выселении военнослужащих,100,87,87.0,13,13.0,15,0,0.0,120,1
2017,Оспаривание решений о выселении военнослужащих,Оспаривание решений о выселении военнослужащих,130,106,81.0,24,18.0,12,0,0.0,571,5
2016,"Споры, связанные с приватизацией жилой площади","Споры, связанные с приватизацией жилой площади",24939,22466,90.0,2473,9.0,607,28,0.0,26212,1
2017,"Споры, связанные с приватизацией жилой площади","Споры, связанные с приватизацией жилой площади",17128,15233,88.0,1895,11.0,408,21,0.0,6573,0
2016,"О взыскании платы за жилую площадь и коммунальные платежи, тепло и электроэнергию","О взыскании платы за жилую площадь и коммунальные платежи, тепло и электроэнергию",4034179,4000584,99.0,33595,0.0,130114,3254713,80.0,82049661,21
2017,"О взыскании платы за жилую площадь и коммунальные платежи, тепло и электроэнергию","О взыскании платы за жилую площадь и коммунальные платежи, тепло и электроэнергию",5349366,5335164,99.0,14202,0.0,27649,5172690,96.0,120180333,23
2016,О предоставлении жилого помещения в связи с признанием дома аварийным,О предоставлении жилого помещения в связи с признанием дома аварийным,2036,1411,69.0,625,30.0,225,4,0.0,25906,18
2017,О предоставлении жилого помещения в связи с признанием дома аварийным,О предоставлении жилого помещения в связи с признанием дома аварийным,3825,2582,67.0,1243,32.0,497,0,0.0,28373,11
2016,Споры с управляющими компаниями,Споры с управляющими компаниями,12793,11355,83.0,1438,16.0,1544,5611,26.0,313506,27
2017,Споры с управляющими компаниями,Споры с управляющими компаниями,13743,12264,89.0,1479,10.0,1385,7009,51.0,230695,19
2016,"Иные споры членов кооперативов, участников ТСЖ (др. жил. организаций)","Иные споры членов кооперативов, участников ТСЖ (др. жил. организаций)",4912,4107,83.0,805,16.0,608,1310,26.0,111293,27
2017,"Иные споры членов кооперативов, участников ТСЖ (др. жил. организаций)","Иные споры членов кооперативов, участников ТСЖ (др. жил. организаций)",4906,4126,84.0,780,15.0,745,1758,35.0,171363,42
2016,"Споры, возникающие в связи с участием граждан в долевом строительстве многоквартирных домов и иных объектов недвижимости","Споры, возникающие в связи с участием граждан в долевом строительстве многоквартирных домов и иных объектов недвижимости",7726,7406,95.0,320,4.0,557,4,0.0,1797126,243
2017,"Споры, возникающие в связи с участием граждан в долевом строительстве многоквартирных домов и иных объектов недвижимости","Споры, возникающие в связи с участием граждан в долевом строительстве многоквартирных домов и иных объектов недвижимости",22901,21825,95.0,1076,4.0,1801,286,1.0,5562044,255
2016,"Споры, связанные с предоставлением жилищных сертификатов (кроме социальных споров)","Споры, связанные с предоставлением жилищных сертификатов (кроме социальных споров)",380,318,83.0,62,16.0,11,205,53.0,8694,27
2017,"Споры, связанные с предоставлением жилищных сертификатов (кроме социальных споров)","Споры, связанные с предоставлением жилищных сертификатов (кроме социальных споров)",395,250,63.0,145,36.0,33,8,2.0,8774,35
2016,О признании недействительным решений по вопросам предоставления жилого помещения по договору социального найма и найма жилого помещения,О признании недействительным решений по вопросам предоставления жилого помещения по договору социального найма и найма жилого помещения,2913,2402,82.0,511,17.0,143,32,1.0,1252,1
2017,О признании недействительным решений по вопросам предоставления жилого помещения по договору социального найма и найма жилого помещения,О признании недействительным решений по вопросам предоставления жилого помещения по договору социального найма и найма жилого помещения,4600,3645,79.0,955,20.0,240,0,0.0,22717,6
2016,О признании недействительным решения органа местного самоуправления о снятии с учета либо об отказе в постановке на учет в качестве нуждающихся в жилых помещениях,О признании недействительным решения органа местного самоуправления о снятии с учета либо об отказе в постановке на учет в качестве нуждающихся в жилых помещениях,797,435,54.0,362,45.0,65,0,0.0,2473,6
2017,О признании недействительным решения органа местного самоуправления о снятии с учета либо об отказе в постановке на учет в качестве нуждающихся в жилых помещениях,О признании недействительным решения органа местного самоуправления о снятии с учета либо об отказе в постановке на учет в качестве нуждающихся в жилых помещениях,1187,564,47.0,623,52.0,104,0,0.0,2105,4
2016,"О признании недействительным решения об отказе в признании членами семьи лиц, совместно проживающих в жилом помещении, понуждении выдать государственный жилищный сертификат","О признании недействительным решения об отказе в признании членами семьи лиц, совместно проживающих в жилом помещении, понуждении выдать государственный жилищный сертификат",108,99,91.0,9,8.0,7,0,0.0,2,0
2017,"О признании недействительным решения об отказе в признании членами семьи лиц, совместно проживающих в жилом помещении, понуждении выдать государственный жилищный сертификат","О признании недействительным решения об отказе в признании членами семьи лиц, совместно проживающих в жилом помещении, понуждении выдать государственный жилищный сертификат",188,143,76.0,45,23.0,10,0,0.0,0,0
2016,О признании недействительным решений органов власти об исключении из подпрограммы «Обеспечение жильем молодых семей»,О признании недействительным решений органов власти об исключении из подпрограммы «Обеспечение жильем молодых семей»,205,119,58.0,86,42.0,8,4,2.0,694,6
2017,О признании недействительным решений органов власти об исключении из подпрограммы «Обеспечение жильем молодых семей»,О признании недействительным решений органов власти об исключении из подпрограммы «Обеспечение жильем молодых семей»,260,139,53.0,121,46.0,13,0,0.0,603,4
2016,"О признании недействительным решения общего собрания собственников помещений многоквартирного дома, а также общего собрания ТСЖ","О признании недействительным решения общего собрания собственников помещений многоквартирного дома, а также общего собрания ТСЖ",1753,1200,68.0,553,31.0,155,17,1.0,2809,2
2017,"О признании недействительным решения общего собрания собственников помещений многоквартирного дома, а также общего собрания ТСЖ","О признании недействительным решения общего собрания собственников помещений многоквартирного дома, а также общего собрания ТСЖ",3658,2167,59.0,1491,40.0,474,0,0.0,2871,1
2016,Иные жилищные споры,Иные жилищные споры,201464,175873,87.0,25591,12.0,21138,10593,5.0,1710236,10
2017,Иные жилищные споры,Иные жилищные споры,206628,183270,88.0,23358,11.0,19445,35742,17.0,1844981,10
2016,О признании права собственности на садовые участки и объекты недвижимости,О признании права собственности на садовые участки и объекты недвижимости,18325,16731,91.0,1594,8.0,682,13,0.0,9419,1
2017,О признании права собственности на садовые участки и объекты недвижимости,О признании права собственности на садовые участки и объекты недвижимости,21314,19560,91.0,1754,8.0,719,41,0.0,11358,1
2016,О порядке выдела земельного участка в счет земельных долей в праве общей собственности из земель сельскохозяйственного назначения,О порядке выдела земельного участка в счет земельных долей в праве общей собственности из земель сельскохозяйственного назначения,1354,1182,87.0,172,12.0,119,9,0.0,1281,1
2017,О порядке выдела земельного участка в счет земельных долей в праве общей собственности из земель сельскохозяйственного назначения,О порядке выдела земельного участка в счет земельных долей в праве общей собственности из земель сельскохозяйственного назначения,1325,1112,83.0,213,16.0,188,3,0.0,5191,5
2016,О признании права собственности на невостребованные земельные участки в составе земель сельскохозяйственного назначения,О признании права собственности на невостребованные земельные участки в составе земель сельскохозяйственного назначения,53818,51748,96.0,2070,3.0,7715,0,0.0,1791,0
2017,О признании права собственности на невостребованные земельные участки в составе земель сельскохозяйственного назначения,О признании права собственности на невостребованные земельные участки в составе земель сельскохозяйственного назначения,45398,42327,93.0,3071,6.0,7418,3,0.0,488,0
2016,Иные споры о праве собственности на землю,Иные споры о праве собственности на землю,28681,24044,83.0,4637,16.0,2443,109,0.0,104166,4
2017,Иные споры о праве собственности на землю,Иные споры о праве собственности на землю,31589,26691,84.0,4898,15.0,2875,134,0.0,129775,5
2016,О признании недействительным решений о предоставлении (либо об отказе в предоставлении) земельного участка,О признании недействительным решений о предоставлении (либо об отказе в предоставлении) земельного участка,1079,617,57.0,462,42.0,121,0,0.0,782,1
2017,О признании недействительным решений о предоставлении (либо об отказе в предоставлении) земельного участка,О признании недействительным решений о предоставлении (либо об отказе в предоставлении) земельного участка,2119,1460,68.0,659,31.0,229,1,0.0,6029,4
2016,"О признании недействительным решений о постановке (снятии) земельного участка на кадастровый учет, соединенное со спором о границах земельного участка и о праве на него","О признании недействительным решений о постановке (снятии) земельного участка на кадастровый учет, соединенное со спором о границах земельного участка и о праве на него",1437,1208,84.0,229,15.0,180,1,0.0,1826,2
2017,"О признании недействительным решений о постановке (снятии) земельного участка на кадастровый учет, соединенное со спором о границах земельного участка и о праве на него","О признании недействительным решений о постановке (снятии) земельного участка на кадастровый учет, соединенное со спором о границах земельного участка и о праве на него",3152,2593,82.0,559,17.0,408,0,0.0,4887,2
2016,О признании недействительным решений об изъятии земельных участков для государственных или муниципальных нужд и определении их выкупной цены,О признании недействительным решений об изъятии земельных участков для государственных или муниципальных нужд и определении их выкупной цены,227,198,87.0,29,12.0,38,0,0.0,18859,95
2017,О признании недействительным решений об изъятии земельных участков для государственных или муниципальных нужд и определении их выкупной цены,О признании недействительным решений об изъятии земельных участков для государственных или муниципальных нужд и определении их выкупной цены,673,600,89.0,73,10.0,71,0,0.0,317795,530
2016,"О возмещении убытков, причиненных нарушением прав на землю","О возмещении убытков, причиненных нарушением прав на землю",448,364,81.0,84,18.0,79,67,15.0,99474,273
2017,"О возмещении убытков, причиненных нарушением прав на землю","О возмещении убытков, причиненных нарушением прав на землю",769,661,86.0,108,14.0,65,332,43.0,118142,179
2016,"Дела по искам садоводческих организаций, связанные с членством и пользованием земельными участками","Дела по искам садоводческих организаций, связанные с членством и пользованием земельными участками",4403,4082,92.0,321,7.0,1423,347,7.0,101710,25
2017,"Дела по искам садоводческих организаций, связанные с членством и пользованием земельными участками","Дела по искам садоводческих организаций, связанные с членством и пользованием земельными участками",7924,7640,96.0,284,3.0,1642,2753,34.0,150532,20
2016,"О признании недействительным решения общего собрания садоводческих организаций, связанного с землепользованием","О признании недействительным решения общего собрания садоводческих организаций, связанного с землепользованием",555,314,56.0,241,43.0,52,8,1.0,854,3
2017,"О признании недействительным решения общего собрания садоводческих организаций, связанного с землепользованием","О признании недействительным решения общего собрания садоводческих организаций, связанного с землепользованием",802,458,57.0,344,42.0,71,0,0.0,1536,3
2016,"Иные споры , возникающие по инициативе или с участием садоводов и садоводческих организаций","Иные споры , возникающие по инициативе или с участием садоводов и садоводческих организаций",837,627,74.0,210,25.0,162,5,0.0,9184,15
2017,"Иные споры , возникающие по инициативе или с участием садоводов и садоводческих организаций","Иные споры , возникающие по инициативе или с участием садоводов и садоводческих организаций",2050,1481,72.0,569,27.0,425,138,6.0,16824,11
2016,Об устранении препятствий в пользовании земельными участками и объектами недвижимости,Об устранении препятствий в пользовании земельными участками и объектами недвижимости,5432,3604,66.0,1828,33.0,1491,9,0.0,41409,11
2017,Об устранении препятствий в пользовании земельными участками и объектами недвижимости,Об устранении препятствий в пользовании земельными участками и объектами недвижимости,4850,3319,68.0,1531,31.0,1348,28,0.0,13976,4
2016,"Споры, связанные с самовольной постройкой","Споры, связанные с самовольной постройкой",9676,7908,81.0,1768,18.0,1014,0,0.0,24732,3
2017,"Споры, связанные с самовольной постройкой","Споры, связанные с самовольной постройкой",18609,16035,86.0,2574,13.0,1336,1,0.0,160792,10
2016,"Споры о правах на земельные участки, на которых расположены многоквартирные дома","Споры о правах на земельные участки, на которых расположены многоквартирные дома",265,183,69.0,82,30.0,33,0,0.0,2373,13
2017,"Споры о правах на земельные участки, на которых расположены многоквартирные дома","Споры о правах на земельные участки, на которых расположены многоквартирные дома",185,119,64.0,66,35.0,23,0,0.0,2693,23
2016,"Дела, возникающие в связи с переводом земель или земельных участков в составе таких земель из одной категории в другую","Дела, возникающие в связи с переводом земель или земельных участков в составе таких земель из одной категории в другую",101,75,74.0,26,25.0,35,1,1.0,189,3
2017,"Дела, возникающие в связи с переводом земель или земельных участков в составе таких земель из одной категории в другую","Дела, возникающие в связи с переводом земель или земельных участков в составе таких земель из одной категории в другую",135,88,65.0,47,34.0,7,0,0.0,536,6
2016,"Иные споры, связанные с землепользованием","Иные споры, связанные с землепользованием",40803,31300,76.0,9503,23.0,6723,1439,3.0,1110049,35
2017,"Иные споры, связанные с землепользованием","Иные споры, связанные с землепользованием",38936,31221,80.0,7715,19.0,6054,3595,9.0,977820,31
2016,О возмещении ущерба за нарушение природоохранного законодательства,О возмещении ущерба за нарушение природоохранного законодательства,3778,3600,95.0,178,4.0,684,19,0.0,6099356,1694
2017,О возмещении ущерба за нарушение природоохранного законодательства,О возмещении ущерба за нарушение природоохранного законодательства,3404,3230,94.0,174,5.0,483,28,0.0,2221214,688
2016,"Жалобы на решения и действия (бездействие) учреждений, предприятий, организаций, их объединений и общественных объединений","Жалобы на решения и действия (бездействие) учреждений, предприятий, организаций, их объединений и общественных объединений",2774,2160,77.0,614,22.0,529,6,0.0,4826,2
2017,"Жалобы на решения и действия (бездействие) учреждений, предприятий, организаций, их объединений и общественных объединений","Жалобы на решения и действия (бездействие) учреждений, предприятий, организаций, их объединений и общественных объединений",1519,1253,82.0,266,17.0,317,0,0.0,20913,17
2016,Иски о возмещении ущерба от ДТП (кроме увечий и смерти кормильца),Иски о возмещении ущерба от ДТП (кроме увечий и смерти кормильца),143182,133220,93.0,9962,7.0,10587,115,0.0,23805900,179
2017,Иски о возмещении ущерба от ДТП (кроме увечий и смерти кормильца),Иски о возмещении ущерба от ДТП (кроме увечий и смерти кормильца),100074,92265,92.0,7809,7.0,8355,136,0.0,9685212,105
2016,Иные о возмещении имущественного вреда,Иные о возмещении имущественного вреда,7880,7034,89.0,846,10.0,1010,173,2.0,1520632,216
2017,Иные о возмещении имущественного вреда,Иные о возмещении имущественного вреда,19059,16961,89.0,2098,11.0,2458,341,1.0,6376742,376
2016,О взыскании страхового возмещения (выплат) по договору ОСАГО,О взыскании страхового возмещения (выплат) по договору ОСАГО,387428,365907,94.0,21521,5.0,15824,393,0.0,32527283,89
2017,О взыскании страхового возмещения (выплат) по договору ОСАГО,О взыскании страхового возмещения (выплат) по договору ОСАГО,343065,315539,92.0,27526,8.0,14438,387,0.0,435819932,1381
2016,О взыскании страхового возмещения (выплат) по договору КАСКО,О взыскании страхового возмещения (выплат) по договору КАСКО,18919,17720,93.0,1199,6.0,897,10,0.0,2553909,144
2017,О взыскании страхового возмещения (выплат) по договору КАСКО,О взыскании страхового возмещения (выплат) по договору КАСКО,17785,15786,88.0,1999,11.0,973,23,0.0,3113986,197
2016,"Иные споры, связанные с имущественным страхованием","Иные споры, связанные с имущественным страхованием",8114,7169,88.0,945,11.0,534,9,0.0,805514,112
2017,"Иные споры, связанные с имущественным страхованием","Иные споры, связанные с имущественным страхованием",17424,15081,86.0,2343,13.0,1043,187,1.0,2928476,194
2016,"Споры, связанные с личным страхованием","Споры, связанные с личным страхованием",1379,823,59.0,556,40.0,101,6,0.0,137119,167
2017,"Споры, связанные с личным страхованием","Споры, связанные с личным страхованием",3041,1757,57.0,1284,42.0,201,20,0.0,303739,173
2016,О защите авторских прав,О защите авторских прав,202,159,78.0,43,21.0,45,2,1.0,41497,261
2017,О защите авторских прав,О защите авторских прав,277,196,70.0,81,29.0,69,0,0.0,54796,280
2016,"О защите прав, смежных с авторскими","О защите прав, смежных с авторскими",22,20,90.0,2,9.0,1,0,0.0,2345,117
2017,"О защите прав, смежных с авторскими","О защите прав, смежных с авторскими",53,49,92.0,4,7.0,6,0,0.0,2369,48
2016,О защите патентных прав,О защите патентных прав,23,14,60.0,9,39.0,9,0,0.0,256122,18294
2017,О защите патентных прав,О защите патентных прав,50,33,66.0,17,34.0,11,0,0.0,60413,1831
2016,О защите прав на селекционое достижение,О защите прав на селекционое достижение,8,7,87.0,1,12.0,0,2,25.0,342,49
2017,О защите прав на селекционое достижение,О защите прав на селекционое достижение,9,6,66.0,3,33.0,2,0,0.0,5998,1000
2016,О защите прав на топологии интегральных микросхем,О защите прав на топологии интегральных микросхем,8,7,87.0,1,12.0,0,0,0.0,0,0
2017,О защите прав на топологии интегральных микросхем,О защите прав на топологии интегральных микросхем,6,5,83.0,1,16.0,2,0,0.0,439,88
2016,О защите права на секрет производства (ноу-хау),О защите права на секрет производства (ноу-хау),7,2,28.0,5,71.0,1,0,0.0,151,75
2017,О защите права на секрет производства (ноу-хау),О защите права на секрет производства (ноу-хау),2,1,50.0,1,50.0,1,0,0.0,0,0
2016,О защите права на средства индивидуализации,О защите права на средства индивидуализации,60,51,85.0,9,15.0,10,0,0.0,6938,136
2017,О защите права на средства индивидуализации,О защите права на средства индивидуализации,65,56,86.0,9,13.0,12,0,0.0,6185,110
2016,О защите права использования результатов интеллектуальной деятельности в составе единой технологии,О защите права использования результатов интеллектуальной деятельности в составе единой технологии,15,12,80.0,3,20.0,0,0,0.0,1291,108
2017,О защите права использования результатов интеллектуальной деятельности в составе единой технологии,О защите права использования результатов интеллектуальной деятельности в составе единой технологии,9,8,88.0,1,11.0,0,0,0.0,200,25
2016,О защите авторских и (или) смежных прав в сети Интернет,О защите авторских и (или) смежных прав в сети Интернет,446,443,99.0,3,0.0,8,0,0.0,87,0
2017,О защите авторских и (или) смежных прав в сети Интернет,О защите авторских и (или) смежных прав в сети Интернет,628,617,98.0,11,1.0,24,0,0.0,294,0
2016,"Иные дела, связанные с защитой интеллектуальной собственности","Иные дела, связанные с защитой интеллектуальной собственности",171,119,69.0,52,30.0,33,2,1.0,6916,58
2017,"Иные дела, связанные с защитой интеллектуальной собственности","Иные дела, связанные с защитой интеллектуальной собственности",136,103,75.0,33,24.0,27,0,0.0,34436,334
2016,О защите прав потребителей финансово-кредитными учреждений,О защите прав потребителей финансово-кредитными учреждений,151494,61877,40.0,89617,59.0,4434,11209,7.0,8837596,143
2017,О защите прав потребителей финансово-кредитными учреждений,О защите прав потребителей финансово-кредитными учреждений,79235,48974,61.0,30261,38.0,2501,19772,25.0,5862125,120
2016,"О защите прав потребителей в сфере торговли, услуг и т. п.","О защите прав потребителей в сфере торговли, услуг и т.п.",245436,213806,87.0,31630,12.0,31575,4675,1.0,28612894,134
2017,"О защите прав потребителей в сфере торговли, услуг и т. п.","О защите прав потребителей в сфере торговли, услуг и т.п.",224052,192817,86.0,31235,13.0,30151,10293,4.0,25736284,133
2016,О разделе наследственного имущества,О разделе наследственного имущества,665,563,84.0,102,15.0,196,3,0.0,26876,48
2017,О разделе наследственного имущества,О разделе наследственного имущества,1233,1010,81.0,223,18.0,352,0,0.0,53296,53
2016,О признании завещания недействительным,О признании завещания недействительным,485,140,28.0,345,71.0,127,1,0.0,1528,11
2017,О признании завещания недействительным,О признании завещания недействительным,1528,413,27.0,1115,73.0,267,0,0.0,8561,21
2016,О признании недостойным наследником,О признании недостойным наследником,266,82,30.0,184,69.0,53,1,0.0,690,8
2017,О признании недостойным наследником,О признании недостойным наследником,562,129,23.0,433,77.0,85,0,0.0,3257,25
2016,Об ответственности наследников по долгам наследодателя,Об ответственности наследников по долгам наследодателя,872,561,64.0,311,35.0,134,0,0.0,135950,242
2017,Об ответственности наследников по долгам наследодателя,Об ответственности наследников по долгам наследодателя,2955,2006,67.0,949,32.0,427,0,0.0,349028,174
2016,"О восстановлении срока для принятия наследства, о принятии наследства, о признании права на наследственное имущество","О восстановлении срока для принятия наследства, о принятии наследства, о признании права на наследственное имущество",18712,17525,93.0,1187,6.0,818,0,0.0,16755,1
2017,"О восстановлении срока для принятия наследства, о принятии наследства, о признании права на наследственное имущество","О восстановлении срока для принятия наследства, о принятии наследства, о признании права на наследственное имущество",38690,35973,93.0,2717,7.0,1662,0,0.0,42349,1
2016,"Иные, связанные с наследованием имущества","Иные, связанные с наследованием имущества",71260,64658,90.0,6602,9.0,3892,0,0.0,608086,9
2017,"Иные, связанные с наследованием имущества","Иные, связанные с наследованием имущества",52091,47700,91.0,4391,8.0,2538,0,0.0,564086,12
2016,"Споры, связанные со сделками с частными домами и приватизированными квартирами","Споры, связанные со сделками с частными домами и приватизированными квартирами",11047,8731,79.0,2316,21.0,1105,2,0.0,328250,38
2017,"Споры, связанные со сделками с частными домами и приватизированными квартирами","Споры, связанные со сделками с частными домами и приватизированными квартирами",9493,7590,80.0,1903,20.0,882,4,0.0,277692,37
2016,"Споры, связанные с ценными бумагами, акциями, облигациями","Споры, связанные с ценными бумагами, акциями, облигациями",426,363,85.0,63,14.0,46,6,1.0,1163460,3205
2017,"Споры, связанные с ценными бумагами, акциями, облигациями","Споры, связанные с ценными бумагами, акциями, облигациями",261,185,70.0,76,29.0,28,4,1.0,473343,2559
2016,"Споры, вытекающие из права собственности государственной, муниципальной, общественных организаций","Споры, вытекающие из права собственности государственной, муниципальной, общественных организаций",9211,8550,92.0,661,7.0,408,28,0.0,50108,6
2017,"Споры, вытекающие из права собственности государственной, муниципальной, общественных организаций","Споры, вытекающие из права собственности государственной, муниципальной, общественных организаций",6231,5768,92.0,463,7.0,222,15,0.0,43852,8
2016,"Споры, вытекающие из права собственности иностранных собственников","Споры, вытекающие из права собственности иностранных собственников",18,16,88.0,2,11.0,0,0,0.0,26,2
2017,"Споры, вытекающие из права собственности иностранных собственников","Споры, вытекающие из права собственности иностранных собственников",479,456,95.0,23,4.0,34,23,4.0,199421,437
2016,Об оспаривании зарегистрированных прав на недвижимое имущество,Об оспаривании зарегистрированных прав на недвижимое имущество,961,617,64.0,344,35.0,131,0,0.0,22217,36
2017,Об оспаривании зарегистрированных прав на недвижимое имущество,Об оспаривании зарегистрированных прав на недвижимое имущество,3258,2372,72.0,886,27.0,330,0,0.0,79297,33
2016,О признании недействительным ненормативного акта о предоставлении либо об отказе в предоставлении нежилого помещения в аренду,О признании недействительным ненормативного акта о предоставлении либо об отказе в предоставлении нежилого помещения в аренду,19,13,68.0,6,31.0,5,2,10.0,968,74
2017,О признании недействительным ненормативного акта о предоставлении либо об отказе в предоставлении нежилого помещения в аренду,О признании недействительным ненормативного акта о предоставлении либо об отказе в предоставлении нежилого помещения в аренду,526,440,83.0,86,16.0,67,0,0.0,28907,66
2016,Иные иски из договора аренды имущества,Иные иски из договора аренды имущества,16553,15213,91.0,1340,8.0,2412,3171,19.0,2468010,162
2017,Иные иски из договора аренды имущества,Иные иски из договора аренды имущества,17556,16313,92.0,1243,7.0,1831,6177,35.0,2677239,164
2016,"Имущественные споры членов кооперативов, участников некоммерческих товариществ, обществ","Имущественные споры членов кооперативов, участников некоммерческих товариществ, обществ",6771,6513,96.0,258,3.0,731,449,6.0,578187,89
2017,"Имущественные споры членов кооперативов, участников некоммерческих товариществ, обществ","Имущественные споры членов кооперативов, участников некоммерческих товариществ, обществ",6085,5947,97.0,138,2.0,323,931,15.0,649990,109
2016,"Споры в отношении имущества, не являющегося объектом хозяйственной деятельности","Споры в отношении имущества, не являющегося объектом хозяйственной деятельности",8875,7925,89.0,950,10.0,521,7,0.0,105444,13
2017,"Споры в отношении имущества, не являющегося объектом хозяйственной деятельности","Споры в отношении имущества, не являющегося объектом хозяйственной деятельности",7153,6365,89.0,788,11.0,405,5,0.0,64679,10
