Год,Метка_норм,Административный истец,Рассмотрено дел,Удовлетворено,Доля удовлетворенных,Отказано,Доля отказов,Прекращено,Судебные приказы,Доля приказов,Взысканная сумма (тыс. руб.),Средняя сумма взыскания (тыс. руб.)
2024,Иностранная религиозная организация,Иностранная религиозная организация,0,0,0.0,0,0.0,3,0,0.0,0,0
2018,Иностранная религиозная организация,Иностранная религиозная организация,0,0,0.0,0,0.0,2,0,0.0,0,0
2020,Иностранная религиозная организация,Иностранная религиозная организация,0,0,0.0,0,0.0,1,0,0.0,0,0
2022,Иностранная религиозная организация,Иностранная религиозная организация,0,0,0.0,0,0.0,1,0,0.0,0,0
2021,Иностранная религиозная организация,Иностранная религиозная организация,0,0,0.0,0,0.0,4,0,0.0,0,0
2023,Международная религиозная организация,Международная религиозная организация,0,0,0.0,0,0.0,0,0,0.0,0,0
2019,Международная религиозная организация,Международная религиозная организация,23,19,82.0,4,17.0,0,0,0.0,43,2
2024,Международная религиозная организация,Международная религиозная организация,0,0,0.0,0,0.0,0,0,0.0,0,0
2018,Международная религиозная организация,Международная религиозная организация,10,8,80.0,2,20.0,0,0,0.0,0,0
2020,Международная религиозная организация,Международная религиозная организация,0,0,0.0,0,0.0,0,0,0.0,0,0
2022,Международная религиозная организация,Международная религиозная организация,0,0,0.0,0,0.0,0,0,0.0,0,0
2021,Международная религиозная организация,Международная религиозная организация,0,0,0.0,0,0.0,0,0,0.0,0,0
2023,"Общественное объединение, не являющиеся юридическим лицом","Общественное объединение, не являющиеся юридическим лицом",88,24,27.0,64,73.0,0,0,0.0,58,2
2019,"Общественное объединение, не являющиеся юридическим лицом","Общественное объединение, не являющиеся юридическим лицом",7769,7738,99.0,31,0.0,11,7705,99.0,66261,8
2024,"Общественное объединение, не являющиеся юридическим лицом","Общественное объединение, не являющиеся юридическим лицом",106,32,30.0,74,69.0,0,0,0.0,0,0
2018,"Общественное объединение, не являющиеся юридическим лицом","Общественное объединение, не являющиеся юридическим лицом",94,60,63.8,34,36.2,1,18,19.1,220,4
2020,"Общественное объединение, не являющиеся юридическим лицом","Общественное объединение, не являющиеся юридическим лицом",2331,2284,98.0,47,2.0,0,2257,96.0,500,0
2022,"Общественное объединение, не являющиеся юридическим лицом","Общественное объединение, не являющиеся юридическим лицом",90,38,42.0,52,57.0,0,0,0.0,0,0
2021,"Общественное объединение, не являющиеся юридическим лицом","Общественное объединение, не являющиеся юридическим лицом",87,26,29.0,61,70.0,0,1,1.0,0,0
2023,"Религиозная организация, не являющаяся юридическим лицом","Религиозная организация, не являющаяся юридическим лицом",2,1,50.0,1,50.0,27,0,0.0,0,0
2019,"Религиозная организация, не являющаяся юридическим лицом","Религиозная организация, не являющаяся юридическим лицом",6,2,33.0,4,66.0,25,0,0.0,0,0
2024,"Религиозная организация, не являющаяся юридическим лицом","Религиозная организация, не являющаяся юридическим лицом",2,0,0.0,2,100.0,10,0,0.0,0,0
2018,"Религиозная организация, не являющаяся юридическим лицом","Религиозная организация, не являющаяся юридическим лицом",126,119,94.4,7,5.6,20,115,91.3,2077,17
2020,"Религиозная организация, не являющаяся юридическим лицом","Религиозная организация, не являющаяся юридическим лицом",3,0,0.0,3,100.0,13,0,0.0,0,0
2022,"Религиозная организация, не являющаяся юридическим лицом","Религиозная организация, не являющаяся юридическим лицом",5,3,60.0,2,40.0,24,0,0.0,0,0
2021,"Религиозная организация, не являющаяся юридическим лицом","Религиозная организация, не являющаяся юридическим лицом",3,1,33.0,2,66.0,20,0,0.0,0,0
2023,Орган государственной власти,Орган государственной власти,1278433,1155918,90.0,122515,10.0,2,997633,78.0,52789267,46
2019,Орган государственной власти,Орган государственной власти,2876926,2830320,98.0,46606,1.0,2,2700989,93.0,815737252,288
2024,Орган государственной власти,Орган государственной власти,3578579,3512696,98.0,65883,1.0,0,3362565,93.0,170420279,48
2018,Орган государственной власти,Орган государственной власти,1709592,1675466,98.0,34126,2.0,3,1555321,91.0,25699226,15
2020,Орган государственной власти,Орган государственной власти,4439536,4341863,97.0,97673,2.0,1,4186637,94.0,37500988,9
2022,Орган государственной власти,Орган государственной власти,2946775,2833643,96.0,113132,3.0,1,2672379,90.0,147414447,52
2021,Орган государственной власти,Орган государственной власти,3028041,2961155,97.0,66886,2.0,0,2793883,92.0,69128079,23
