Год,Статья_норм,Показатель,Осуждено,Оправдано,Лишение свободы,Условное лишение свободы,Ограничение свободы,Штраф,Исправительные работы,Обязательные работы,Принудительные меры к невменяемым
2023,109 ч.1,Статья 109 часть 1,786,3,86,43,325,10,222,1,19
2019,109 ч.1,Статья 109 часть 1 УК РФ,828,3,110,57,378,6,206,1,131
2018,109 ч.2,Статья 109 часть 2 УК РФ,151,13,0,2,115,2,3,0,0
2024,109 ч.2,Статья 109 часть 2,124,9,0,2,80,4,1,0,0
2020,109 ч.2,Статья 109 часть 2 УК РФ,114,18,2,1,82,3,0,0,0
2022,109 ч.2,Статья 109 ч. 2,116,12,0,0,74,1,0,0,0
2021,109 ч.2,Статья 109 ч. 2,122,13,2,4,87,0,1,0,0
2023,109 ч.2,Статья 109 часть 2,116,8,1,0,80,4,0,0,0
2019,109 ч.2,Статья 109 часть 2 УК РФ,143,20,2,1,99,3,0,0,64
2018,109 ч.3,Статья 109 часть 3 УК РФ,44,3,24,16,4,0,0,0,0
2024,109 ч.3,Статья 109 часть 3,47,0,19,14,7,0,0,0,3
2020,109 ч.3,Статья 109 часть 3 УК РФ,39,1,17,15,6,0,0,1,0
2022,109 ч.3,Статья 109 ч. 3,50,0,21,20,5,1,0,0,0
2021,109 ч.3,Статья 109 ч. 3,50,1,20,18,9,0,0,0,2
2023,109 ч.3,Статья 109 часть 3,34,0,17,6,8,0,0,0,2
2019,109 ч.3,Статья 109 часть 3 УК РФ,37,0,19,13,5,0,0,0,12
2018,110 ч.1,Статья 110 часть 1 УК РФ,14,0,7,6,1,0,0,0,0
2024,"110 ч.1,","Статья 110 часть 1,",1,2,0,1,0,0,0,0,1
2020,110 ч.1,Статья 110 часть 1 УК РФ,5,0,4,1,0,0,0,0,0
2022,110 ч.1,Статья 110 ч. 1,7,0,6,1,0,0,0,0,1
2021,110 ч.1,Статья 110 ч. 1,7,1,5,2,0,0,0,0,0
2023,110 ч.1,Статья 110 часть 1,9,0,5,3,0,0,0,0,0
2019,110 ч.1,Статья 110 часть 1 УК РФ,9,0,4,5,0,0,0,0,0
2018,110 ч.2,Статья 110 часть 2 УК РФ,2,0,1,1,0,0,0,0,0
2024,110 ч.2,Статья 110 часть 2,12,0,11,1,0,0,0,0,0
2020,110 ч.2,Статья 110 ч.2 УК РФ,1,0,1,0,0,0,0,0,0
2022,110 ч.2,Статья 110 ч.2,6,0,3,3,0,0,0,0,1
2021,110 ч.2,Статья 110 ч.2,6,0,6,0,0,0,0,0,0
2023,110 ч.2,Статья 110 часть 2,10,0,7,3,0,0,0,0,0
2019,110 ч.2,Статья 110 часть 2 УК РФ,10,0,10,0,0,0,0,0,0
2018,110.1 ч.1,Статья 110.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,110.1 ч.1,Статья 110.1 часть 1,0,0,0,0,0,0,0,0,0
2020,110.1 ч.1,Статья 110.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2022,110.1 ч.1,Статья 110.1 ч. 1,0,0,0,0,0,0,0,0,0
2021,110.1 ч.1,Статья 110.1 ч. 1,1,0,1,0,0,0,0,0,0
2023,110.1 ч.1,Статья 110.1 часть 1,0,0,0,0,0,0,0,0,0
2019,110.1 ч.1,Статья 110.1 часть 1 УК РФ,1,0,0,1,0,0,0,0,0
2018,110.1 ч.2,Статья 110.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,110.1 ч.2,Статья 110.1 часть 2,0,0,0,0,0,0,0,0,0
2020,110.1 ч.2,Статья 110.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,110.1 ч.2,Статья 110.1 ч. 2,0,0,0,0,0,0,0,0,0
2021,110.1 ч.2,Статья 110.1 ч. 2,1,0,0,0,1,0,0,0,0
2023,110.1 ч.2,Статья 110.1 часть 2,0,0,0,0,0,0,0,0,0
2019,110.1 ч.2,Статья 110.1 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2018,110.1 ч.3,Статья 110.1 часть 3 УК РФ,3,0,0,3,0,0,0,0,1
2024,110.1 ч.3,Статья 110.1 часть 3,1,0,1,0,0,0,0,0,0
2020,110.1 ч.3,Статья 110.1 часть 3 УК РФ,1,0,0,1,0,0,0,0,0
2022,110.1 ч.3,Статья 110.1 ч. 3,4,0,2,1,0,1,0,0,2
2021,110.1 ч.3,Статья 110.1 ч. 3,1,0,0,0,0,0,0,0,0
2023,110.1 ч.3,Статья 110.1 часть 3,0,0,0,0,0,0,0,0,1
2019,110.1 ч.3,Статья 110.1 часть 3 УК РФ,2,0,0,1,0,0,0,0,0
2018,110.1 ч.4,Статья 110.1 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2024,110.1 ч.4,Статья 110.1 часть 4,0,0,0,0,0,0,0,0,1
2020,110.1 ч.4,Статья 110.1 часть 4 УК РФ,1,0,1,0,0,0,0,0,0
2022,110.1 ч.4,Статья 110.1 ч. 4,3,0,1,2,0,0,0,0,0
2021,110.1 ч.4,Статья 110.1 ч. 4,0,0,0,0,0,0,0,0,1
2023,110.1 ч.4,Статья 110.1 часть 4,3,0,2,0,1,0,0,0,0
2019,110.1 ч.4,Статья 110.1 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2018,110.1 ч.5,Статья 110.1 часть 5 УК РФ,1,0,0,1,0,0,0,0,0
2024,110.1 ч.5,Статья 110.1 часть 5,0,0,0,0,0,0,0,0,0
2020,110.1 ч.5,Статья 110.1 часть 5 УК РФ,0,0,0,0,0,0,0,0,0
2022,110.1 ч.5,Статья 110.1 ч. 5,1,0,0,1,0,0,0,0,0
2021,110.1 ч.5,Статья 110.1 ч. 5,1,0,1,0,0,0,0,0,0
2023,110.1 ч.5,Статья 110.1 часть 5,0,0,0,0,0,0,0,0,0
2019,110.1 ч.5,Статья 110.1 часть 5 УК РФ,2,0,2,0,0,0,0,0,0
2018,110.1 ч.6,Статья 110.1 часть 6 УК РФ,0,0,0,0,0,0,0,0,0
2024,110.1 ч.6,Статья 110.1 часть 6,0,0,0,0,0,0,0,0,0
2020,110.1 ч.6,Статья 110.1 часть 6 УК РФ,0,0,0,0,0,0,0,0,0
2022,110.1 ч.6,Статья 110.1 ч. 6,0,0,0,0,0,0,0,0,0
2021,110.1 ч.6,Статья 110.1 ч. 6,0,0,0,0,0,0,0,0,0
2023,110.1 ч.6,Статья 110.1 часть 6,0,0,0,0,0,0,0,0,0
2019,110.1 ч.6,Статья 110.1 часть 6 УК РФ,0,0,0,0,0,0,0,0,0
2018,110.2 ч.1,Статья 110.2 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,110.2 ч.1,Статья 110.2 часть 1,0,0,0,0,0,0,0,0,0
2020,110.2 ч.1,Статья 110.2 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2022,110.2 ч.1,Статья 110.2 ч. 1,0,0,0,0,0,0,0,0,0
2021,110.2 ч.1,Статья 110.2 ч. 1,0,0,0,0,0,0,0,0,0
2023,110.2 ч.1,Статья 110.2 часть 1,0,0,0,0,0,0,0,0,0
2019,110.2 ч.1,Статья 110.2 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2018,110.2 ч.2,Статья 110.2 часть 2 УК РФ,1,0,1,0,0,0,0,0,0
2024,110.2 ч.2,Статья 110.2 часть 2,0,0,0,0,0,0,0,0,1
2020,110.2 ч.2,Статья 110.2 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,110.2 ч.2,Статья 110.2 ч. 2,0,0,0,0,0,0,0,0,0
2021,110.2 ч.2,Статья 110.2 ч. 2,4,0,3,0,0,1,0,0,0
2023,110.2 ч.2,Статья 110.2 часть 2,1,0,1,0,0,0,0,0,0
2019,110.2 ч.2,Статья 110.2 часть 2 УК РФ,1,0,1,0,0,0,0,0,0
2018,111 ч.1,Статья 111 часть 1 УК РФ,3751,1,1741,1976,10,1,11,0,62
2024,111 ч.1,Статья 111 часть 1,3121,1,1240,1756,12,3,31,4,53
2020,111 ч.1,Статья 111 часть 1 УК РФ,3183,4,1302,1830,11,1,8,1,0
2022,111 ч.1,Статья 111 ч. 1,3174,9,1333,1776,10,7,9,4,58
2021,111 ч.1,Статья 111 ч. 1,3096,3,1304,1738,8,2,11,1,64
2023,111 ч.1,Статья 111 часть 1,3208,3,1297,1817,10,5,31,1,55
2019,111 ч.1,Статья 111 часть 1 УК РФ,3634,3,1633,1953,8,1,14,5,0
2018,111 ч.2,Статья 111 часть 2 УК РФ,11425,6,6948,4428,15,2,7,6,319
2024,111 ч.2,Статья 111 часть 2,7574,9,4409,3072,15,1,21,3,205
2020,111 ч.2,Статья 111 часть 2 УК РФ,9148,6,5120,3954,12,3,19,2,0
2022,111 ч.2,Статья 111 ч. 2,8403,7,4697,3611,14,4,13,1,232
2021,111 ч.2,Статья 111 ч. 2,8973,11,5067,3829,15,1,10,1,255
2023,111 ч.2,Статья 111 часть 2,8409,9,4759,3511,26,3,27,3,224
2019,111 ч.2,Статья 111 часть 2 УК РФ,10326,7,6019,4234,16,2,14,2,0
2018,111 ч.3,Статья 111 часть 3 УК РФ,678,2,581,95,1,0,0,0,6
2024,111 ч.3,Статья 111 часть 3,570,3,461,98,0,0,2,0,4
2020,111 ч.3,Статья 111 часть 3 УК РФ,518,2,431,86,1,0,0,0,0
2022,111 ч.3,Статья 111 ч. 3,512,5,420,88,0,0,0,0,7
2021,111 ч.3,Статья 111 ч. 3,514,1,400,104,0,0,0,2,6
2023,111 ч.3,Статья 111 часть 3,522,6,435,80,0,0,0,0,2
2019,111 ч.3,Статья 111 часть 3 УК РФ,575,9,467,107,0,0,0,0,0
2019,111 ч.4,Статья 111 часть 4 УК РФ,4240,20,4196,31,1,0,1,0,0
2018,111 ч.4,Статья 111 часть 4 УК РФ,4640,11,4596,32,4,0,0,0,160
2024,111 ч.4,Статья 111 часть 4,3475,34,3452,7,0,0,0,0,100
2020,111 ч.4,Статья 111 часть 4 УК РФ,3414,24,3399,8,1,0,0,0,0
2022,111 ч.4,Статья 111 ч. 4,3530,29,3511,13,1,0,0,0,103
2021,111 ч.4,Статья 111 ч. 4,3799,41,3774,19,1,0,0,0,127
2023,111 ч.4,Статья 111 часть 4,3705,46,3674,12,2,0,0,0,110
2019,112 ч.1,Статья 112 часть 1 УК РФ,5929,6,942,1239,3559,62,10,27,566
2018,112 ч.1,Статья 112 часть 1 УК РФ,6696,2,987,1392,4122,66,18,28,111
2024,112 ч.1,Статья 112 часть 1,4445,4,502,753,2804,98,17,17,103
2020,112 ч.1,Статья 112 часть 1 УК РФ,5349,3,899,1246,3042,60,14,26,0
2022,112 ч.1,Статья 112 ч. 1,5100,1,767,1082,3027,83,14,26,94
2021,112 ч.1,Статья 112 ч. 1,5115,4,846,1250,2804,87,12,33,77
2023,112 ч.1,Статья 112 часть 1,4844,4,749,943,2855,95,18,22,101
2019,112 ч.2,Статья 112 часть 2 УК РФ,2715,4,864,1727,52,10,13,27,193
2018,112 ч.2,Статья 112 часть 2 УК РФ,3237,5,986,2115,54,10,22,24,99
2024,112 ч.2,Статья 112 часть 2,2090,4,554,1396,37,12,40,17,78
2020,112 ч.2,Статья 112 часть 2 УК РФ,2497,1,728,1650,50,2,27,18,0
2022,112 ч.2,Статья 112 ч. 2,2337,8,626,1593,47,13,18,13,87
2021,112 ч.2,Статья 112 ч. 2,2377,3,688,1585,54,5,13,13,80
2023,112 ч.2,Статья 112 часть 2,2181,4,595,1393,62,19,34,21,79
2019,113,Статья 113 УК РФ,11,0,1,0,2,1,4,0,6
2018,113,Статья 113 УК РФ,13,0,0,1,5,0,4,0,0
2024,113,Статья 113,3,0,0,0,0,0,2,0,0
2020,113,Статья 113 УК РФ,10,0,1,0,6,0,2,0,0
2022,113,Статья 113,11,0,0,0,3,1,4,0,0
2021,113,Статья 113,6,0,0,0,2,0,2,0,0
2023,113,Статья 113,5,0,0,1,1,0,2,0,1
2019,114 ч.1,Статья 114 часть 1 УК РФ,462,3,51,76,152,1,112,0,196
2018,114 ч.1,Статья 114 часть 1 УК РФ,499,6,80,84,151,3,113,1,3
2024,114 ч.1,Статья 114 часть 1,341,2,36,33,114,2,70,1,3
2020,114 ч.1,Статья 114 часть 1 УК РФ,421,2,53,61,139,0,101,1,0
2022,114 ч.1,Статья 114 ч. 1,416,7,51,55,140,3,93,0,2
2021,114 ч.1,Статья 114 ч. 1,412,0,52,51,121,4,97,1,0
2023,114 ч.1,Статья 114 часть 1,345,2,48,29,121,1,80,0,3
2019,114 ч.2,Статья 114 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2018,114 ч.2,Статья 114 часть 2 УК РФ,6,0,0,0,2,0,3,0,0
2024,114 ч.2,Статья 114 часть 2,3,0,1,0,1,0,0,0,0
2020,114 ч.2,Статья 114 часть 2 УК РФ,4,0,0,0,1,0,0,0,0
2022,114 ч.2,Статья 114 ч. 2,10,0,0,1,1,0,2,0,0
2021,114 ч.2,Статья 114 ч. 2,6,0,1,1,2,0,1,0,0
2023,114 ч.2,Статья 114 часть 2,3,0,0,0,0,0,2,0,0
2019,115 ч.1,Статья 115 часть 1 УК РФ,2130,246,1,1,25,1100,278,625,145
2018,115 ч.1,Статья 115 часть 1 УК РФ,2453,259,8,7,41,1134,361,783,35
2024,115 ч.1,Статья 115 часть 1,1356,116,0,0,2,697,186,376,30
2020,115 ч.1,Статья 115 часть 1 УК РФ,1620,175,1,0,1,747,250,538,0
2022,115 ч.1,Статья 115 ч. 1,1496,157,0,1,1,721,166,493,43
2021,115 ч.1,Статья 115 ч. 1,1624,184,0,2,0,773,241,520,29
2023,115 ч.1,Статья 115 часть 1,1502,122,0,1,1,700,195,501,25
2019,115 ч.2,Статья 115 часть 2 УК РФ,9914,11,1897,2112,1076,81,978,3445,877
2018,115 ч.2,Статья 115 часть 2 УК РФ,10575,2,1849,2264,1141,81,1139,3738,352
2024,115 ч.2,Статья 115 часть 2,7114,9,1018,1217,851,113,650,2643,280
2020,115 ч.2,Статья 115 часть 2 УК РФ,9294,7,1652,2194,1017,93,852,3219,0
2022,115 ч.2,Статья 115 ч. 2,8641,2,1634,1919,969,94,697,2999,318
2021,115 ч.2,Статья 115 ч. 2,8866,6,1673,2207,905,93,697,2993,350
2023,115 ч.2,Статья 115 часть 2,7918,3,1428,1660,915,97,708,2725,304
2019,116,Статья 116 УК РФ,640,5,73,94,55,5,87,295,123
2018,116 ч.1,Статья 116 часть 1 УК РФ,212,6,3,1,1,51,59,92,1
2024,116 ч.1,Статья 116 часть 1,22,0,2,1,0,0,8,10,1
2020,116 ч.1,Статья 116 часть 1 УК РФ,50,1,0,1,1,9,10,26,0
2022,116 ч.1,Статья 116 ч. 1,31,1,0,0,0,2,7,21,2
2021,116 ч.1,Статья 116 ч. 1,23,1,0,0,0,1,7,13,1
2023,116 ч.1,Статья 116 часть 1,22,2,3,2,0,3,4,7,1
2019,116 ч.1,Статья 116 часть 1 УК РФ,80,6,0,1,2,14,14,46,8
2018,116 ч.2,Статья 116 часть 2 УК РФ,9,0,1,1,1,0,1,3,1
2024,116 ч.2,Статья 116 часть 2,2,0,0,0,1,0,1,0,0
2020,116 ч.2,Статья 116 часть 2 УК РФ,1,0,0,0,0,0,0,0,0
2022,116 ч.2,Статья 116 ч. 2,1,0,0,0,1,0,0,0,0
2021,116 ч.2,Статья 116 ч. 2,0,0,0,0,0,0,0,0,0
2023,116 ч.2,Статья 116 часть 2,5,0,0,0,2,0,1,2,0
2019,116 ч.2,Статья 116 часть 2 УК РФ,3,1,1,0,0,0,0,1,0
2018,116,Статья 116 УК РФ,814,7,88,109,70,9,113,386,34
2024,116,Статья 116,370,4,27,27,41,5,49,178,28
2020,116,Статья 116 УК РФ,556,2,77,93,55,6,60,238,0
2022,116,Статья 116,448,2,41,61,35,10,60,211,33
2021,116,Статья 116,511,1,54,83,42,6,74,226,33
2023,116,Статья 116,425,2,53,59,44,12,35,193,27
2019,116.1,Статья 116.1 УК РФ,1386,10,1,0,0,276,414,649,53
2018,116.1,Статья 116.1 УК РФ,922,11,3,1,0,207,237,455,12
2024,116.1 ч.1,Статья 116.1 часть 1,1240,13,0,0,5,357,268,573,10
2020,116.1,Статья 116.1 УК РФ,1629,22,0,0,0,315,502,739,0
2022,116.1 ч.1,Статья 116.1 ч. 1,1919,9,0,0,1,367,620,839,12
2021,116.1,Статья 116.1,1809,22,0,0,0,362,568,783,10
2023,116.1 ч.1,Статья 116.1 часть 1,1612,15,0,0,0,404,412,724,12
2019,117 ч.1,Статья 117 часть 1 УК РФ,1082,0,349,163,557,3,1,4,98
2018,117 ч.1,Статья 117 часть 1 УК РФ,1188,0,337,174,661,3,2,3,22
2024,116.1 ч.2,Статья 116.1 часть 2,5120,4,0,0,3686,58,751,523,24
2020,117 ч.1,Статья 117 часть 1 УК РФ,931,0,273,138,513,2,2,2,0
2022,116.1 ч.2,Статья 116.1 ч. 2,271,0,1,0,127,3,55,80,0
2021,117 ч.1,Статья 117 ч. 1,740,0,199,109,421,2,1,3,20
2023,116.1 ч.2,Статья 116.1 часть 2,4168,2,1,0,2558,42,795,682,14
2019,117 ч.2,Статья 117 часть 2 УК РФ,492,0,170,309,3,1,3,1,0
2018,117 ч.2,Статья 117 часть 2 УК РФ,517,0,182,326,3,0,1,1,13
2024,117 ч.1,Статья 117 часть 1,403,0,63,25,259,4,2,0,11
2020,117 ч.2,Статья 117 часть 2 УК РФ,366,1,107,254,0,0,1,0,0
2022,117 ч.1,Статья 117 ч. 1,634,0,168,81,376,1,0,0,14
2021,117 ч.2,Статья 117 ч. 2,448,1,153,288,0,3,1,1,15
2023,117 ч.1,Статья 117 часть 1,524,1,109,57,330,2,3,2,15
2019,118 ч.1,Статья 118 часть 1 УК РФ,979,1,0,0,265,202,174,269,265
2018,118 ч.1,Статья 118 часть 1 УК РФ,1017,1,0,0,268,210,192,276,26
2024,117 ч.2,Статья 117 часть 2,402,2,174,217,0,1,5,1,11
2020,118 ч.1,Статья 118 часть 1 УК РФ,811,5,0,0,238,138,132,250,0
2022,117 ч.2,Статья 117 ч. 2,413,1,133,268,2,1,4,1,11
2021,118 ч.1,Статья 118 ч. 1,802,2,0,0,220,175,120,228,17
2023,117 ч.2,Статья 117 часть 2,464,0,172,271,0,1,8,0,15
2019,118 ч.2,Статья 118 часть 2 УК РФ,48,0,0,0,40,2,0,0,41
2018,118 ч.2,Статья 118 часть 2 УК РФ,62,1,0,2,51,0,1,0,0
2024,118 ч.1,Статья 118 часть 1,781,2,0,0,168,204,121,211,18
2020,118 ч.2,Статья 118 часть 2 УК РФ,30,2,0,0,24,1,0,0,0
2022,118 ч.1,Статья 118 ч. 1,724,2,0,0,171,172,99,227,13
2021,118 ч.2,Статья 118 ч. 2,31,2,0,2,24,0,0,0,0
2023,118 ч.1,Статья 118 часть 1,779,1,0,1,198,184,118,202,15
2019,118 ч.3,Статья 118 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2018,118 ч.3,Статья 118 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2024,118 ч.2,Статья 118 часть 2,36,1,0,1,27,1,0,0,1
2020,118 ч.3,Статья 118 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,118 ч.2,Статья 118 ч. 2,41,3,0,0,30,1,0,0,0
2021,118 ч.3,Статья 118 ч. 3,0,0,0,0,0,0,0,0,0
2023,118 ч.2,Статья 118 часть 2,40,4,1,0,27,0,0,0,0
2023,118 ч.3,Статья 118 часть 3,0,0,0,0,0,0,0,0,0
2019,118 ч.4,Статья 118 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2018,118 ч.4,Статья 118 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2024,118 ч.3,Статья 118 часть 3,0,0,0,0,0,0,0,0,0
2020,118 ч.4,Статья 118 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2022,118 ч.3,Статья 118 ч. 3,0,0,0,0,0,0,0,0,0
2021,118 ч.4,Статья 118 ч. 4,0,0,0,0,0,0,0,0,0
2023,118 ч.4,Статья 118 часть 4,0,0,0,0,0,0,0,0,0
2019,119 ч.1,Статья 119 часть 1 УК РФ,18824,2,3472,4242,2314,86,21,8575,1423
2018,119 ч.1,Статья 119 часть 1 УК РФ,22250,5,3861,5037,2714,91,46,10383,701
2024,118 ч.4,Статья 118 часть 4,0,0,0,0,0,0,0,0,0
2020,119 ч.1,Статья 119 часть 1 УК РФ,16725,9,3089,3863,2003,93,7,7563,0
2022,118 ч.4,Статья 118 ч. 4,0,0,0,0,0,0,0,0,0
2021,119 ч.1,Статья 119 ч. 1,16309,12,2903,3896,1867,104,12,7426,656
2023,119 ч.1,Статья 119 часть 1,12375,8,2010,2370,1601,107,11,5939,534
2019,119 ч.2,Статья 119 часть 2 УК РФ,6,0,3,3,0,0,0,0,0
2018,119 ч.2,Статья 119 часть 2 УК РФ,2,0,2,0,0,0,0,0,0
2024,119 ч.1,Статья 119 часть 1,10633,3,1502,1716,1467,128,7,5266,499
2020,119 ч.2,Статья 119 часть 2 УК РФ,14,0,5,8,0,0,0,1,0
2022,119 ч.1,Статья 119 ч. 1,15287,11,2681,3388,1784,115,9,7132,626
2021,119 ч.2,Статья 119 ч. 2,28,0,6,21,1,0,0,0,1
2023,119 ч.2,Статья 119 часть 2,35,0,8,22,1,0,0,0,3
2019,120 ч.1,Статья 120 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2018,120 ч.1,Статья 120 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,119 ч.2,Статья 119 часть 2,46,0,16,22,0,2,0,0,5
2020,120 ч.1,Статья 120 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2022,119 ч.2,Статья 119 ч. 2,30,0,8,22,0,0,0,0,0
2021,120 ч.1,Статья 120 ч. 1,0,0,0,0,0,0,0,0,0
2023,120 ч.1,Статья 120 часть 1,0,0,0,0,0,0,0,0,0
2019,120 ч.2,Статья 120 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2018,120 ч.2,Статья 120 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,120 ч.1,Статья 120 часть 1,0,0,0,0,0,0,0,0,0
2020,120 ч.2,Статья 120 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,120 ч.1,Статья 120 ч. 1,0,0,0,0,0,0,0,0,0
2021,120 ч.2,Статья 120 ч. 2,0,0,0,0,0,0,0,0,0
2023,120 ч.2,Статья 120 часть 2,0,0,0,0,0,0,0,0,0
2019,121 ч.1,Статья 121 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2018,121 ч.1,Статья 121 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,120 ч.2,Статья 120 часть 2,0,0,0,0,0,0,0,0,0
2020,121 ч.1,Статья 121 часть 1 УК РФ,2,0,0,0,0,0,0,2,0
2022,120 ч.2,Статья 120 ч. 2,0,0,0,0,0,0,0,0,0
2021,121 ч.1,Статья 121 ч. 1,0,0,0,0,0,0,0,0,0
2023,121 ч.1,Статья 121 часть 1,0,0,0,0,0,0,0,0,0
2019,121 ч.2,Статья 121 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2018,121 ч.2,Статья 121 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,121 ч.1,Статья 121 часть 1,0,0,0,0,0,0,0,0,0
2020,121 ч.2,Статья 121 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,121 ч.1,Статья 121 ч. 1,0,0,0,0,0,0,0,0,0
2021,121 ч.2,Статья 121 ч. 2,0,0,0,0,0,0,0,0,0
2023,121 ч.2,Статья 121 часть 2,0,0,0,0,0,0,0,0,0
2019,122 ч.1,Статья 122 часть 1 УК РФ,26,0,6,3,17,0,0,0,3
2018,122 ч.1,Статья 122 часть 1 УК РФ,25,0,6,5,14,0,0,0,0
2024,121 ч.2,Статья 121 часть 2,1,0,0,1,0,0,0,0,0
2020,122 ч.1,Статья 122 часть 1 УК РФ,23,0,9,5,9,0,0,0,0
2022,121 ч.2,Статья 121 ч. 2,0,0,0,0,0,0,0,0,0
2021,122 ч.1,Статья 122 ч. 1,20,0,10,1,9,0,0,0,1
2023,122 ч.1,Статья 122 часть 1,19,0,5,0,11,0,0,0,1
2019,122 ч.2,Статья 122 часть 2 УК РФ,21,0,7,14,0,0,0,0,1
2018,122 ч.2,Статья 122 часть 2 УК РФ,33,1,13,20,0,0,0,0,0
2024,122 ч.1,Статья 122 часть 1,12,0,1,0,11,0,0,0,0
2020,122 ч.2,Статья 122 часть 2 УК РФ,30,0,10,19,1,0,0,0,0
2022,122 ч.1,Статья 122 ч. 1,8,0,1,1,6,0,0,0,1
2021,122 ч.2,Статья 122 ч. 2,31,0,12,19,0,0,0,0,0
2023,122 ч.2,Статья 122 часть 2,30,0,8,21,1,0,0,0,0
2019,122 ч.3,Статья 122 часть 3 УК РФ,12,0,6,5,0,0,1,0,0
2018,122 ч.3,Статья 122 часть 3 УК РФ,8,0,5,3,0,0,0,0,0
2024,122 ч.2,Статья 122 часть 2,25,0,7,16,0,0,2,0,1
2020,122 ч.3,Статья 122 часть 3 УК РФ,13,0,8,5,0,0,0,0,0
2022,122 ч.2,Статья 122 ч. 2,23,0,9,14,0,0,0,0,2
2021,122 ч.3,Статья 122 ч. 3,8,0,4,4,0,0,0,0,0
2023,122 ч.3,Статья 122 часть 3,10,0,4,6,0,0,0,0,0
2019,122 ч.4,Статья 122 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2018,122 ч.4,Статья 122 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2024,122 ч.3,Статья 122 часть 3,6,0,2,4,0,0,0,0,0
2020,122 ч.4,Статья 122 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2022,122 ч.3,Статья 122 ч. 3,9,0,5,4,0,0,0,0,1
2021,122 ч.4,Статья 122 ч. 4,0,0,0,0,0,0,0,0,0
2023,122 ч.4,Статья 122 часть 4,0,0,0,0,0,0,0,0,0
2019,123 ч.1,Статья 123 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2018,123 ч.1,Статья 123 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2024,122 ч.4,Статья 122 часть 4,0,0,0,0,0,0,0,0,0
2020,123 ч.1,Статья 123 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2022,122 ч.4,Статья 122 ч. 4,0,0,0,0,0,0,0,0,0
2021,123 ч.1,Статья 123 ч. 1,0,0,0,0,0,0,0,0,0
2023,123 ч.1,Статья 123 часть 1,0,0,0,0,0,0,0,0,0
2019,123 ч.2,Статья 123 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2018,123 ч.2,Статья 123 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2024,123 ч.1,Статья 123 часть 1,0,0,0,0,0,0,0,0,0
2020,123 ч.2,Статья 123 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2022,123 ч.1,Статья 123 ч. 1,0,0,0,0,0,0,0,0,0
2021,123 ч.2,Статья 123 ч. 2,0,0,0,0,0,0,0,0,0
2023,123 ч.2,Статья 123 часть 2,0,0,0,0,0,0,0,0,0
2019,123 ч.3,Статья 123 часть 3 УК РФ,1,0,0,1,0,0,0,0,0
2018,123 ч.3,Статья 123 часть 3 УК РФ,1,0,0,1,0,0,0,0,0
2024,123 ч.2,Статья 123 часть 2,0,0,0,0,0,0,0,0,0
2020,123 ч.3,Статья 123 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2022,123 ч.2,Статья 123 ч. 2,0,0,0,0,0,0,0,0,0
2021,123 ч.3,Статья 123 ч. 3,1,0,1,0,0,0,0,0,0
2023,123 ч.3,Статья 123 часть 3,1,0,0,1,0,0,0,0,0
2019,124 ч.1,Статья 124 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
