Год,Статья_норм,Показатель,Осуждено,Оправдано,Лишение свободы,Условное лишение свободы,Ограничение свободы,Штраф,Исправительные работы,Обязательные работы,Принудительные меры к невменяемым
2017,118 ч.2,Статья 118 часть 2 УК РФ,42,0,1,1,34,2,0,0,0
2016,118 ч.2,Статья 118 часть 2 УК РФ,37,1,0,2,21,1,0,0,0
2017,119 ч.1,Статья 119 часть 1 УК РФ,24292,5,3761,5114,3202,103,56,11941,735
2016,119 ч.1,Статья 119 часть 1 УК РФ,26001,10,3638,5460,3556,111,89,12785,0
2017,119 ч.2,Статья 119 часть 2 УК РФ,6,0,1,5,0,0,0,0,0
2016,119 ч.2,Статья 119 часть 2 УК РФ,3,0,1,2,0,0,0,0,0
2017,120 ч.1,Статья 120 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,120 ч.1,Статья 120 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,120 ч.2,Статья 120 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2016,120 ч.2,Статья 120 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2017,121 ч.1,Статья 121 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,121 ч.1,Статья 121 часть 1 УК РФ,2,0,0,0,1,0,0,1,0
2017,121 ч.2,Статья 121 часть 2 УК РФ,0,0,0,0,0,0,0,0,0
2016,121 ч.2,Статья 121 часть 2 УК РФ,1,0,0,1,0,0,0,0,0
2017,122 ч.1,Статья 122 часть 1 УК РФ,17,0,3,2,12,0,0,0,0
2016,122 ч.1,Статья 122 часть 1 УК РФ,19,0,7,3,7,1,0,0,0
2017,122 ч.2,Статья 122 часть 2 УК РФ,31,0,11,18,0,0,0,0,0
2016,122 ч.2,Статья 122 часть 2 УК РФ,25,0,12,10,0,0,0,0,0
2017,122 ч.3,Статья 122 часть 3 УК РФ,8,0,7,1,0,0,0,0,1
2016,122 ч.3,Статья 122 часть 3 УК РФ,11,0,7,3,1,0,0,0,0
2017,122 ч.4,Статья 122 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2016,122 ч.4,Статья 122 часть 4 УК РФ,0,0,0,0,0,0,0,0,0
2017,123 ч.1,Статья 123 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,123 ч.1,Статья 123 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,123 ч.3,Статья 123 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2016,123 ч.3,Статья 123 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2017,124 ч.1,Статья 124 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,124 ч.1,Статья 124 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,124 ч.2,Статья 124 часть 2 УК РФ,4,0,0,3,0,0,0,0,0
2016,124 ч.2,Статья 124 часть 2 УК РФ,7,0,0,2,0,0,0,0,0
2017,125,Статья 125 УК РФ,105,1,5,4,0,46,22,22,0
2016,125,Статья 125 УК РФ,130,0,7,6,0,46,25,26,0
2017,126 ч.1,Статья 126 часть 1 УК РФ,26,0,7,18,0,0,0,0,0
2016,126 ч.1,Статья 126 часть 1 УК РФ,21,1,11,9,0,0,1,0,0
2017,126 ч.2,Статья 126 часть 2 УК РФ,245,0,213,31,0,0,0,0,9
2016,126 ч.2,Статья 126 часть 2 УК РФ,241,1,210,31,0,0,0,0,0
2017,126 ч.3,Статья 126 часть 3 УК РФ,8,0,7,1,0,0,0,0,0
2016,126 ч.3,Статья 126 часть 3 УК РФ,19,0,18,0,0,0,0,0,0
2017,127 ч.1,Статья 127 часть 1 УК РФ,58,0,12,14,32,0,0,0,0
2016,127 ч.1,Статья 127 часть 1 УК РФ,50,0,3,6,32,1,1,0,0
2017,127 ч.2,Статья 127 часть 2 УК РФ,129,1,47,71,1,0,1,0,7
2016,127 ч.2,Статья 127 часть 2 УК РФ,122,0,48,58,1,0,1,1,0
2017,127 ч.3,Статья 127 часть 3 УК РФ,8,0,7,1,0,0,0,0,0
2016,127 ч.3,Статья 127 часть 3 УК РФ,5,0,5,0,0,0,0,0,0
2017,127.1 ч.1,Статья 127.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,127.1 ч.1,Статья 127.1 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,127.1 ч.2,Статья 127.1 часть 2 УК РФ,12,0,8,4,0,0,0,0,0
2016,127.1 ч.2,Статья 127.1 часть 2 УК РФ,23,0,16,7,0,0,0,0,0
2017,127.1 ч.3,Статья 127.1 часть 3 УК РФ,14,0,12,2,0,0,0,0,0
2016,127.1 ч.3,Статья 127.1 часть 3 УК РФ,1,0,0,1,0,0,0,0,0
2017,127.2 ч.1,Статья 127.2 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2016,127.2 ч.1,Статья 127.2 часть 1 УК РФ,0,0,0,0,0,0,0,0,0
2017,127.2 ч.2,Статья 127.2 часть 2 УК РФ,1,0,1,0,0,0,0,0,0
2016,127.2 ч.2,Статья 127.2 часть 2 УК РФ,3,0,3,0,0,0,0,0,0
2017,127.2 ч.3,Статья 127.2 часть 3 УК РФ,0,0,0,0,0,0,0,0,0
2016,127.2 ч.3,Статья 127.2 часть 3 УК РФ,1,0,1,0,0,0,0,0,0
2017,128 ч.1,Статья 128 часть 1 УК РФ,3,3,0,0,0,3,0,0,0
2016,128 ч.1,Статья 128 часть 1 УК РФ,0,3,0,0,0,0,0,0,0
